contig	ws_hdr_start	ws_hdr_end	ws_hdr_size	strain
ptg000008l	1142510	1154981	12471	XZ1516
ptg000008l	1626807.61927414	1708607	81799.3807258583	XZ1516
ptg000009l	81277.6815582831	88679.6898908742	7402.00833259105	XZ1516
ptg000009l	143071.701600579	153830.318751516	10758.617150937	XZ1516
ptg000009l	386130.976649084	408130.144012127	21999.167363043	XZ1516
ptg000009l	548061.607627532	554797	6735.39237246849	XZ1516
ptg000011l	187668.736383442	212015.607690374	24346.8713069322	XZ1516
ptg000011l	254413.928547067	262391.270542738	7977.3419956713	XZ1516
ptg000011l	379017.498612975	386514.207371975	7496.70875899983	XZ1516
ptg000011l	684722.15317369	694739.84682631	10017.6936526203	XZ1516
ptg000011l	922565.840255591	949020.993627825	26455.1533722341	XZ1516
ptg000011l	1103612	1111072.80776613	7460.80776613019	XZ1516
ptg000011l	1138699.40440339	1147663.59559661	8964.19119322719	XZ1516
ptg000011l	1195641.43995883	1206842.54788444	11201.1079256022	XZ1516
ptg000011l	1447589.76320065	1453042	5452.23679935001	XZ1516
ptg000011l	1461639	1483726.25254503	22087.2525450273	XZ1516
ptg000011l	1510657	1516250.1877568	5593.18775680033	XZ1516
ptg000011l	1573352.02191056	1622018.06009913	48666.0381885741	XZ1516
ptg000011l	1640018.41978933	1658530.73124732	18512.3114579928	XZ1516
ptg000011l	2083519.39585297	2089552	6032.6041470312	XZ1516
ptg000011l	2366481.3838565	2405220	38738.6161434976	XZ1516
ptg000011l	2648647.42026342	2658751.57973658	10104.1594731575	XZ1516
ptg000011l	2815416.864542	2826176.9104382	10760.0458962061	XZ1516
ptg000011l	3373833.47443452	3401825.64475194	27992.1703174235	XZ1516
ptg000011l	3443827.13534685	3457828.75492775	14001.619580898	XZ1516
ptg000011l	3518942.68715803	3525967.31284197	7024.62568393908	XZ1516
ptg000012l	2523012.29682105	2562343	39330.7031789497	XZ1516
ptg000014l	1086741.09275378	1111799.04125392	25057.9485001361	XZ1516
ptg000014l	1259785.92794388	1288325.80593247	28539.8779885902	XZ1516
ptg000014l	1307367	1312872.07389602	5505.07389602368	XZ1516
ptg000015l	14823	81953.1521856449	67130.1521856449	XZ1516
ptg000015l	354502.995447648	365851.089167767	11348.0937201196	XZ1516
ptg000015l	384387	477529.795674005	93142.7956740054	XZ1516
ptg000015l	537379	563811.221554078	26432.2215540783	XZ1516
ptg000015l	585310	612557.009262279	27247.009262279	XZ1516
ptg000015l	800799.606974552	809486.43945972	8686.83248516789	XZ1516
ptg000015l	879061.778458606	886380.057298202	7318.27883959597	XZ1516
ptg000015l	939527.723554302	958760.780710125	19233.0571558235	XZ1516
ptg000016l	34529.5329249617	50214	15684.4670750383	XZ1516
ptg000016l	133583.377597056	144493.081878535	10909.7042814789	XZ1516
ptg000016l	333879	347559	13680	XZ1516
ptg000016l	397556.050149391	404547	6990.94985060906	XZ1516
ptg000016l	426492.406033941	432983	6490.5939660591	XZ1516
ptg000016l	475099.370697264	498756	23656.6293027361	XZ1516
ptg000016l	512811	547402.537663621	34591.5376636207	XZ1516
ptg000016l	660588.854023515	701869.171529084	41280.3175055685	XZ1516
ptg000017l	2589234	2621491.8028976	32257.8028976019	XZ1516
ptg000017l	3139523.91970841	3161532.08029159	22008.1605831897	XZ1516
ptg000018l	32143	424798.680109886	392655.680109886	XZ1516
ptg000018l	523966.450657541	925238	401271.549342459	XZ1516
ptg000019l	353136.737598966	363778.57766356	10641.8400645936	XZ1516
ptg000019l	485942	512957.696351416	27015.6963514162	XZ1516
ptg000019l	653111.625244169	685890.885827593	32779.2605834247	XZ1516
ptg000019l	738807.716377023	789955.253765933	51147.5373889102	XZ1516
ptg000019l	797428	883768.197960505	86340.197960505	XZ1516
ptg000019l	912753.394945636	946637.107101157	33883.7121555208	XZ1516
ptg000019l	952478.793440187	962670.103348273	10191.3099080863	XZ1516
ptg000019l	1009061.17274421	1040663.51658496	31602.3438407513	XZ1516
ptg000019l	1075765.84537667	1082554.51588279	6788.67050611274	XZ1516
ptg000019l	1210951.28364976	1218925.24333836	7973.95968860178	XZ1516
ptg000019l	1329714.04631638	1344134.79203187	14420.7457154938	XZ1516
ptg000019l	1359241	1430432	71191	XZ1516
ptg000019l	1455975.81470962	1472708.08221171	16732.2675020937	XZ1516
ptg000019l	1482549.00624938	1558322.37682655	75773.3705771721	XZ1516
ptg000020l	63077.4887496804	70930.6573265962	7853.16857691585	XZ1516
ptg000020l	140299.451603948	158164.799857296	17865.3482533476	XZ1516
ptg000020l	177024.704854809	194104.849666797	17080.1448119879	XZ1516
ptg000020l	851915.724944812	862021.684688884	10105.9597440714	XZ1516
ptg000020l	1161646.80095596	1170867.42120022	9220.6202442667	XZ1516
ptg000020l	1250010	1256360.89697762	6350.89697762276	XZ1516
ptg000020l	1348033.97518248	1362634.4856074	14600.5104249171	XZ1516
ptg000020l	1501934	1513083	11149	XZ1516
ptg000021l	214126.278960955	230043.146696267	15916.8677353117	XZ1516
ptg000021l	690545.339005528	702455.660994472	11910.3219889437	XZ1516
ptg000021l	719693.794549329	741923.365628528	22229.5710791991	XZ1516
ptg000021l	802960.840879788	816029.339963369	13068.4990835811	XZ1516
ptg000022l	10418	822894	812476	XZ1516
ptg000022l	844863.119022317	902273.807940447	57410.68891813	XZ1516
ptg000022l	911684	1237281	325597	XZ1516
ptg000022l	1185266	1258560	73294	XZ1516
ptg000023l	7524	475519.434431324	467995.434431324	XZ1516
ptg000023l	481246.106898695	706219.638888889	224973.531990194	XZ1516
ptg000023l	767883.719806255	1030750.6121673	262866.892361046	XZ1516
ptg000024l	37059	75759.8743271592	38700.8743271592	XZ1516
ptg000025l	578681.387405818	586459.477407199	7778.09000138124	XZ1516
ptg000026l	287274.70594633	418871.068270615	131596.362324285	XZ1516
ptg000026l	438633.943329203	713920.698520495	275286.755191292	XZ1516
ptg000026l	719444.350721421	742247.726358149	22803.3756367282	XZ1516
ptg000026l	764961	815559.416707921	50598.4167079208	XZ1516
ptg000026l	834357.624787776	843699	9341.37521222408	XZ1516
ptg000028l	793336	800414.255183005	7078.25518300489	XZ1516
ptg000029l	677350.464749283	699577.015563798	22226.550814515	XZ1516
ptg000033l	221583.271299871	229584.728700129	8001.45740025741	XZ1516
ptg000033l	637674.263122454	644568.736877546	6894.47375509236	XZ1516
ptg000033l	653709.278778492	691075.107720527	37365.8289420346	XZ1516
ptg000033l	729532.922814983	738732.843205759	9199.92039077636	XZ1516
ptg000034l	24243	33264.7183773377	9021.71837733765	XZ1516
ptg000034l	358423.088043155	366362.911956845	7939.823913689	XZ1516
ptg000034l	731609.901186843	741031.174540955	9421.2733541124	XZ1516
ptg000034l	823035.048680076	842488.142769378	19453.094089302	XZ1516
ptg000034l	1622406.51434661	1652151.80987919	29745.2955325732	XZ1516
ptg000037l	206866.77372817	213240	6373.22627182992	XZ1516
ptg000037l	284050.230029089	301243.315184049	17193.0851549598	XZ1516
ptg000037l	326634.97030185	391767	65132.0296981499	XZ1516
ptg000039l	1130102.90012326	1531978.25537947	401875.355256207	XZ1516
ptg000039l	1567541.47642758	1648052.56026389	80511.0838363115	XZ1516
ptg000040l	294420.202403359	309953.593889717	15533.391486358	XZ1516
ptg000040l	444796.695024549	457042.288924408	12245.5938998585	XZ1516
ptg000041l	210985.141132075	221579.112446381	10593.9713143057	XZ1516
ptg000041l	395669	408894	13225	XZ1516
ptg000041l	418594.641343127	425699	7104.35865687305	XZ1516
ptg000041l	532108	542622.403515065	10514.4035150645	XZ1516
ptg000044l	467883.49582513	476367.142526728	8483.64670159848	XZ1516
ptg000044l	662873.206930026	670843.793069974	7970.58613994811	XZ1516
ptg000045l	54752.55963996	103249.190752861	48496.6311129013	XZ1516
ptg000045l	134443.140607778	153097.460290055	18654.319682277	XZ1516
ptg000045l	236844.258004102	244642.440655899	7798.18265179684	XZ1516
ptg000045l	516913	526765.022199713	9852.02219971304	XZ1516
ptg000046l	32630.3235396298	38316	5685.67646037024	XZ1516
ptg000046l	84687.6034117873	91909.3797519008	7221.77634011343	XZ1516
ptg000046l	127700.228981015	282758.02479092	155057.795809905	XZ1516
ptg000046l	436293.892433911	696312.832704299	260018.940270389	XZ1516
ptg000048l	1148387.40372571	1157263.97117797	8876.56745226239	XZ1516
ptg000048l	2085243.1422227	2105429.07084311	20185.9286204181	XZ1516
ptg000048l	2454448.68205299	2495176.79206331	40728.1100103185	XZ1516
ptg000048l	2904098.56976125	2924398.32635676	20299.7565955166	XZ1516
ptg000049l	75326	1047414	972088	XZ1516
ptg000049l	1157305	1172488.24133036	15183.2413303589	XZ1516
ptg000049l	1189472.00669235	1209079.17218543	19607.165493076	XZ1516
ptg000050l	31933.6530172414	62624.3756626058	30690.7226453644	XZ1516
ptg000050l	89364.2296335355	102524.780421101	13160.5507875657	XZ1516
ptg000050l	120628.151866618	155374.29003374	34746.1381671216	XZ1516
ptg000050l	295627	307918.814294199	12291.8142941992	XZ1516
ptg000050l	442787.422861047	465622	22834.5771389526	XZ1516
ptg000050l	516743.098774484	536744.616528752	20001.5177542684	XZ1516
ptg000050l	627397.272877565	680553.263530337	53155.9906527719	XZ1516
ptg000050l	708764.810259141	838255.967029643	129491.156770502	XZ1516
ptg000050l	852385.09055256	861528.047611515	9142.95705895568	XZ1516
ptg000050l	960962.700734803	1044793.14573099	83830.4449961912	XZ1516
ptg000051l	41359.7529162248	54813.6766109785	13453.9236947537	XZ1516
ptg000052l	475332.449866903	482787.516129032	7455.06626212894	XZ1516
ptg000052l	830002.930153322	839873.093413099	9870.16325977712	XZ1516
ptg000053l	273852.136330569	320166.969539314	46314.8332087447	XZ1516
ptg000053l	994694.32156048	1004216.32670099	9522.0051405147	XZ1516
ptg000054l	103823	109387.210821935	5564.21082193543	XZ1516
ptg000054l	151302.955657223	167043	15740.0443427767	XZ1516
ptg000054l	819672	826201.843651626	6529.84365162649	XZ1516
ptg000054l	1053067	1059476.09300341	6409.09300341294	XZ1516
ptg000054l	1277139	1296779	19640	XZ1516
ptg000054l	1474763.39978704	1483711.75306203	8948.35327498848	XZ1516
ptg000055l	182779.76420281	222528.620918739	39748.8567159293	XZ1516
ptg000055l	279121	286359.933336073	7238.9333360733	XZ1516
ptg000055l	385216	398976	13760	XZ1516
ptg000056l	70642.8703038223	77792.9055052985	7150.03520147625	XZ1516
ptg000056l	314373.632438915	330352.249161074	15978.6167221591	XZ1516
ptg000056l	357074	367745.858947542	10671.8589475423	XZ1516
ptg000056l	631617.570642202	649496.722856245	17879.1522140437	XZ1516
ptg000056l	695712.266525624	702709.733474376	6997.46694875206	XZ1516
ptg000056l	711717.308050685	718873	7155.69194931467	XZ1516
ptg000059l	491663.674248561	498658.325751439	6994.65150287875	XZ1516
ptg000060l	17281	107402.376490005	90121.3764900055	XZ1516
ptg000061l	66482.8265449438	76411.8739708676	9929.04742592383	XZ1516
ptg000061l	85176.4164837844	264334.133276352	179157.716792567	XZ1516
ptg000061l	292786.199410439	474894.023137436	182107.823726998	XZ1516
ptg000061l	480547.47987043	604254.254963427	123706.775092997	XZ1516
ptg000062l	135564.975335859	147529.024664141	11964.0493282811	XZ1516
ptg000062l	242889.450231249	250215.477354096	7326.02712284768	XZ1516
ptg000062l	330824.375311721	365446.098467688	34621.7231559675	XZ1516
ptg000062l	377267.061216049	411531.452360515	34264.3911444665	XZ1516
ptg000062l	422613	428363.323797139	5750.32379713916	XZ1516
ptg000062l	465528.827377957	479134.150070126	13605.3226921695	XZ1516
ptg000062l	548880.979226134	571126.997450892	22246.0182247584	XZ1516
ptg000062l	575698.751250568	582048.283344804	6349.53209423542	XZ1516
ptg000063l	76630.6324294205	83137.2469037155	6506.61447429503	XZ1516
ptg000063l	116772	160391.658631415	43619.6586314153	XZ1516
ptg000063l	172562	190473.404401351	17911.4044013509	XZ1516
ptg000063l	221025	247509.432451837	26484.4324518368	XZ1516
ptg000063l	337493.347837086	361001	23507.6521629142	XZ1516
ptg000063l	366385.361466326	398454.780809031	32069.4193427054	XZ1516
ptg000063l	409298.213503492	419085	9786.7864965077	XZ1516
ptg000064l	102612.275596859	122918.960142621	20306.6845457612	XZ1516
ptg000064l	249430.527290999	262591.683755405	13161.1564644052	XZ1516
ptg000064l	302262.845231403	315292.318435754	13029.4732043507	XZ1516
ptg000064l	357591.591117917	373202.572535991	15610.9814180738	XZ1516
ptg000064l	480090.4373297	556651	76560.5626702997	XZ1516
ptg000064l	653425.530869694	666666.105405001	13240.5745353064	XZ1516
ptg000065l	711587.293932726	723384.448414576	11797.1544818509	XZ1516
ptg000065l	1199500.55216493	1302039.54807866	102538.995913732	XZ1516
ptg000065l	1318286.91019173	1356634.36079981	38347.450608081	XZ1516
ptg000065l	1647532.39027067	1687014.60314208	39482.2128714107	XZ1516
ptg000068l	67199.6262626263	106309.874770281	39110.2485076547	XZ1516
ptg000068l	114541.469919186	148375	33833.5300808141	XZ1516
ptg000068l	219767	316507	96740	XZ1516
ptg000068l	333852	454188.165467626	120336.165467626	XZ1516
ptg000068l	505294.856187291	803397.040592783	298102.184405493	XZ1516
ptg000068l	840399.870779977	881742	41342.1292200233	XZ1516
ptg000068l	910424	978346.027501463	67922.0275014628	XZ1516
ptg000068l	1128929.85714286	1138717	9787.14285714296	XZ1516
ptg000068l	1161828.1483118	1178740.37384563	16912.2255338309	XZ1516
ptg000069l	16853	569041	552188	XZ1516
ptg000069l	681858	705507.160750507	23649.1607505071	XZ1516
ptg000069l	717100.708542714	738251.746265226	21151.0377225128	XZ1516
ptg000069l	770725.482086249	797432.903331962	26707.421245713	XZ1516
ptg000069l	837762.013801348	847038	9275.98619865242	XZ1516
ptg000069l	854728.609177057	862823.702535377	8095.09335831995	XZ1516
ptg000070l	1	16277.7753402397	16276.7753402397	XZ1516
ptg000071l	163136.811416644	171017.224065237	7880.41264859252	XZ1516
ptg000071l	940578	977888	37310	XZ1516
ptg000071l	1009395.24831957	1023448.75168043	14053.5033608603	XZ1516
ptg000073l	714119	721779.822918306	7660.82291830634	XZ1516
ptg000073l	1112007.56036135	1117587	5579.43963865307	XZ1516
ptg000073l	1201100.5206307	1211100.4793693	9999.95873859199	XZ1516
ptg000073l	1226225.06792695	1315929.18392102	89704.115994069	XZ1516
ptg000073l	1358557	1377437.56045082	18880.5604508198	XZ1516
ptg000073l	1444672.60892751	1456247.96138996	11575.3524624482	XZ1516
ptg000073l	1496584.75717162	1503435.73431304	6850.97714142385	XZ1516
ptg000073l	1554691.18959008	1566487.98274296	11796.7931528855	XZ1516
ptg000073l	1576639.3941474	1600026.72729694	23387.3331495386	XZ1516
ptg000074l	51168.4423866436	63084.2058239576	11915.7634373141	XZ1516
ptg000074l	228262.680312616	243327.523636364	15064.8433237473	XZ1516
ptg000074l	258427	277816.933022467	19389.9330224671	XZ1516
ptg000074l	306539.792079958	315999	9459.20792004239	XZ1516
ptg000074l	398784.87721943	419234	20449.1227805695	XZ1516
ptg000074l	484798	574702	89904	XZ1516
ptg000074l	584674.37426557	646286	61611.62573443	XZ1516
ptg000075l	34074	106984.834013179	72910.8340131785	XZ1516
ptg000075l	113278	119971.55891126	6693.55891126025	XZ1516
ptg000075l	129900	217407.172161172	87507.1721611722	XZ1516
ptg000076l	10696.1060666935	52069.3157142857	41373.2096475923	XZ1516
ptg000076l	537959.162189159	546758.667164179	8799.50497501984	XZ1516
ptg000076l	670963.527979496	679722.125430398	8758.59745090245	XZ1516
ptg000077l	175816.486546561	191574.893069632	15758.4065230713	XZ1516
ptg000077l	226478.763132404	256601	30122.2368675956	XZ1516
ptg000077l	322271.401482465	345764.297060013	23492.8955775478	XZ1516
ptg000077l	356821.697106221	389409	32587.3028937792	XZ1516
ptg000078l	11739	49941	38202	XZ1516
ptg000078l	86347.6774193548	96295.7723922269	9948.0949728721	XZ1516
ptg000078l	202777	234192	31415	XZ1516
ptg000078l	269020.201149425	278848	9827.79885057471	XZ1516
ptg000078l	339772	352307.382290185	12535.3822901849	XZ1516
ptg000080l	167344.714129429	188557	21212.2858705714	XZ1516
ptg000080l	200120.800940439	239264	39143.1990595611	XZ1516
ptg000080l	269447.955847816	285254.691382766	15806.7355349496	XZ1516
ptg000081l	27333.0192578411	115169	87835.9807421589	XZ1516
ptg000081l	136299.236455396	148474.077512703	12174.8410573079	XZ1516
ptg000082l	250908.378686385	258126.780381403	7218.40169501808	XZ1516
ptg000082l	329953	346723.241488771	16770.2414887708	XZ1516
ptg000087l	32250.9766702015	50218.5428327159	17967.5661625144	XZ1516
ptg000087l	217323	243956.219313223	26633.2193132233	XZ1516
ptg000087l	271705.908384458	421272	149566.091615542	XZ1516
ptg000087l	418970	610470.162668993	191500.162668993	XZ1516
ptg000087l	742520	749977	7457	XZ1516
ptg000087l	789512.710315789	874161.750627915	84649.0403121259	XZ1516
ptg000087l	993270	1103618.94517958	110348.945179584	XZ1516
ptg000087l	1111807.48209748	1213373.93487027	101566.452772785	XZ1516
ptg000087l	1237104	1243939	6835	XZ1516
ptg000087l	1244085	1607111.28305545	363026.283055448	XZ1516
ptg000089l	44939.2516682555	52257.5580766631	7318.30640840765	XZ1516
ptg000089l	84993.7641008251	92665	7671.23589917486	XZ1516
ptg000091l	79135.5595685178	90284.5836154367	11149.0240469189	XZ1516
ptg000091l	132960.65818703	185130.382522315	52169.7243352853	XZ1516
ptg000096l	107039	141323.562439183	34284.5624391826	XZ1516
ptg000096l	183260.92684711	217282.092640753	34021.165793643	XZ1516
ptg000098l	32545	60633.4911504425	28088.4911504425	XZ1516
ptg000098l	82986	92885.4685795589	9899.46857955893	XZ1516
ptg000098l	99448	105322	5874	XZ1516
ptg000099l	34628.7105263158	44554.9707562257	9926.26022990994	XZ1516
ptg000099l	114007	134604.271186441	20597.2711864407	XZ1516
ptg000099l	118974	124793.957264957	5819.95726495727	XZ1516
ptg000100l	33503	43886.2769428939	10383.2769428939	XZ1516
ptg000101l	86210.9170058397	122661.321062299	36450.4040564594	XZ1516
ptg000103l	20061	101294.194029851	81233.1940298507	XZ1516
ptg000103l	238735.680323139	333448	94712.3196768609	XZ1516
ptg000110l	75366	142509	67143	XZ1516
ptg000112l	65948	72741.1227217497	6793.12272174969	XZ1516
ptg000112l	85985	100195.649122807	14210.649122807	XZ1516
ptg000001l	1607918.38974232	1619016	11097.6102576808	XZ1515
ptg000001l	2715163.75030902	2737352	22188.2496909765	XZ1515
ptg000001l	4070801	4112198	41397	XZ1515
ptg000001l	4586543	4619248	32705	XZ1515
ptg000001l	6494304.08638489	6504000.07408705	9695.98770216294	XZ1515
ptg000001l	6876033.09101953	6883235.04594744	7201.95492790174	XZ1515
ptg000001l	7693502.16360344	7704623.55420371	11121.3906002715	XZ1515
ptg000001l	14012017.5942664	14020621.3306731	8603.73640664853	XZ1515
ptg000002l	399493.464368081	412446.988915983	12953.524547902	XZ1515
ptg000002l	671149.367092743	677824.598938502	6675.23184575932	XZ1515
ptg000002l	1210310.14974619	1232505.89505523	22195.7453090413	XZ1515
ptg000004l	6667404.30693447	6685031	17626.6930655278	XZ1515
ptg000004l	6703249	6709066	5817	XZ1515
ptg000004l	6781521.46062916	6791159.90459082	9638.44396165665	XZ1515
ptg000004l	6873834.01312783	6879597	5762.98687217385	XZ1515
ptg000004l	6887874.88378844	6898027.22594253	10152.3421540838	XZ1515
ptg000004l	6907613.07142857	6917324.34100446	9711.26957588922	XZ1515
ptg000004l	6939919.93020778	6976290.98389982	36371.0536920428	XZ1515
ptg000004l	7232022.34803401	7247932	15909.6519659935	XZ1515
ptg000004l	7279599	7334061	54462	XZ1515
ptg000004l	7349865.44675741	7365053.33908755	15187.8923301399	XZ1515
ptg000004l	7392968.59204539	7456567.49144635	63598.8994009579	XZ1515
ptg000004l	7762618.10614525	7771361.30442416	8743.19827890582	XZ1515
ptg000004l	7778772.39785611	7784692	5919.60214388743	XZ1515
ptg000004l	8258364.17815789	8307938.37041141	49574.1922535235	XZ1515
ptg000004l	8347955.56245036	8418567	70611.4375496423	XZ1515
ptg000004l	8504057.2	8635420	131362.800000001	XZ1515
ptg000004l	8640678	8721009.0974081	80331.0974080972	XZ1515
ptg000004l	8822535.49777778	8868161.24153049	45625.7437527124	XZ1515
ptg000004l	8888133	8966003.07924237	77870.0792423654	XZ1515
ptg000004l	9100294	9168737.56581362	68443.5658136215	XZ1515
ptg000004l	9386296.04089128	9490442.73676471	104146.695873424	XZ1515
ptg000004l	9860433.94811963	9896084.55492282	35650.6068031956	XZ1515
ptg000004l	10106883.163578	10123472	16588.8364219535	XZ1515
ptg000004l	10415092.0932642	10421794.3343905	6702.24112627842	XZ1515
ptg000006l	1794296.28232076	1845463.56461325	51167.2822924866	XZ1515
ptg000006l	1860988	1908960	47972	XZ1515
ptg000006l	2071145	2084149.65386208	13004.6538620833	XZ1515
ptg000006l	2124275.71434764	2135020.22804428	10744.5136966426	XZ1515
ptg000006l	2159037.73136531	2180275.19023738	21237.4588720649	XZ1515
ptg000006l	2199271.52591107	2207992.27930832	8720.75339725707	XZ1515
ptg000006l	2284952.61822586	2304893	19940.3817741447	XZ1515
ptg000006l	2407317.09302326	2430995.76740939	23678.6743861372	XZ1515
ptg000006l	3154288.32981301	3164437.67018699	10149.3403739892	XZ1515
ptg000006l	3465468.96030828	3475823.57297194	10354.6126636546	XZ1515
ptg000006l	5194720.077588	5202610.00657786	7889.9289898565	XZ1515
ptg000006l	6653998.86013764	6663437.09105912	9438.23092147801	XZ1515
ptg000006l	6679036.95981535	6687036.04018465	7999.08036929369	XZ1515
ptg000006l	6746885.63687267	6766339.88566163	19454.2487889593	XZ1515
ptg000006l	13163545.5773756	13171409.6381262	7864.06075062789	XZ1515
ptg000008l	304041.676706584	377351	73309.3232934156	XZ1515
ptg000008l	419972.112289685	445051	25078.8877103145	XZ1515
ptg000008l	679713.797920113	687587	7873.20207988657	XZ1515
ptg000008l	727962.1580299	822103.053814668	94140.8957847682	XZ1515
ptg000008l	870509	888840.047567882	18331.0475678815	XZ1515
ptg000008l	1140483	1154621.97058824	14138.9705882352	XZ1515
ptg000008l	1298239	1316671.45304947	18432.4530494704	XZ1515
ptg000008l	1469401.44228662	1624933.71686303	155532.274576409	XZ1515
ptg000008l	1780888.14313725	1787992.85686275	7104.71372549003	XZ1515
ptg000008l	2200280	2230360.82230942	30080.8223094172	XZ1515
ptg000008l	2321519.65421494	2329214.1898884	7694.53567345859	XZ1515
ptg000008l	2576136.8515625	2584977.88571429	8841.03415178554	XZ1515
ptg000008l	2591098.00657895	2603919.67373062	12821.6671516742	XZ1515
ptg000008l	3084705	3089802	5097	XZ1515
ptg000008l	3128867.88015291	3136516.35120255	7648.47104964172	XZ1515
ptg000008l	3311869.5995702	3376841.29577465	64971.6962044472	XZ1515
ptg000008l	3738092	3839263	101171	XZ1515
ptg000009l	5474484.78634073	5484118.49747219	9633.7111314591	XZ1515
ptg000009l	5513902.85798038	5530864	16961.142019622	XZ1515
ptg000009l	8100819.80837335	8138083.78358438	37263.9752110336	XZ1515
ptg000010l	713082.406088795	718400.986111111	5318.58002231619	XZ1515
ptg000010l	1210568	1289515	78947	XZ1515
ptg000010l	1615339.02857143	1628138.72555772	12799.6969862897	XZ1515
ptg000010l	1657564.87919364	1692220.8708941	34655.9917004593	XZ1515
ptg000010l	1841186.5125	1848784.90782871	7598.3953287052	XZ1515
ptg000010l	1865701	1872641	6940	XZ1515
ptg000010l	2001018	2007467.62	6449.62000000011	XZ1515
ptg000010l	2037026.05124267	2042277.82316944	5251.77192677534	XZ1515
ptg000010l	2843735.95128748	2856377	12641.0487125181	XZ1515
ptg000010l	3522021.69111367	3529047.80163144	7026.11051777052	XZ1515
ptg000012l	297499.110571834	303305	5805.88942816574	XZ1515
ptg000012l	337328.724715666	344307.275284334	6978.55056866817	XZ1515
ptg000013l	54469.4749262537	75066.616742228	20597.1418159743	XZ1515
ptg000013l	92949.4015340706	110731.04258174	17781.641047669	XZ1515
ptg000013l	189169.490666133	203703.822060958	14534.3313948251	XZ1515
ptg000013l	280460.845709662	303853.693355999	23392.8476463366	XZ1515
ptg000013l	370779	398817.39874954	28038.3987495403	XZ1515
ptg000013l	431530.250717743	446061.363285439	14531.112567696	XZ1515
ptg000013l	668025.850387281	673697	5671.14961271908	XZ1515
ptg000013l	756784.613715614	780515	23730.3862843859	XZ1515
ptg000013l	1024310.97613584	1048760.32704403	24449.3509081829	XZ1515
ptg000013l	1240977.21199429	1247685.36145403	6708.14945973782	XZ1515
ptg000013l	1357697	1364322.89583333	6625.89583333326	XZ1515
ptg000013l	1373343.14070643	1421191.02710744	47847.8864010107	XZ1515
ptg000013l	10907726.7463463	10915019.9156293	7293.16928302497	XZ1515
ptg000013l	11494074.0680377	11503073.9319623	8999.86392465979	XZ1515
ptg000013l	11612569.0500892	11632675.2951271	20106.245037904	XZ1515
ptg000014l	703871.328059249	713084.880818845	9213.55275959533	XZ1515
ptg000014l	731142.317959939	740503.936940165	9361.61898022541	XZ1515
ptg000014l	971235.476497973	1060973.56056998	89738.0840720115	XZ1515
ptg000014l	8184844.86676141	8215295.21039466	30450.3436332466	XZ1515
ptg000014l	8892967	8899691.97454267	6724.97454267181	XZ1515
ptg000014l	8941869.5605889	8951828.12601341	9958.56542450935	XZ1515
ptg000014l	8980995.96553525	8987598.36926343	6602.40372818522	XZ1515
ptg000014l	9264372.68667051	9279079.59742756	14706.9107570443	XZ1515
ptg000014l	9296627	9305217.901801	8590.90180099942	XZ1515
