strain	gene	Orthogroup	class
AB1	g196	OG0052853	private
AB1	g197	OG0003207	core
AB1	g198	OG0003036	core
AB1	g199	OG0015691	accessory
AB1	g200	OG0018029	accessory
AB1	g201	OG0015954	accessory
AB1	g202	OG0015230	core
AB1	g203	OG0018169	accessory
AB1	g204	OG0015229	core
AB1	g205	OG0015228	core
AB1	g206	OG0003418	core
AB1	g207	OG0023009	accessory
AB1	g208	OG0015227	core
AB1	g209	OG0023126	accessory
AB1	g210	OG0015813	accessory
AB1	g211	OG0023756	accessory
AB1	g233	OG0001061	accessory
AB1	g234	OG0024476	accessory
AB1	g235	OG0015224	core
AB1	g236	OG0001282	core
AB1	g241	OG0000758	core
AB1	g242	OG0017424	accessory
AB1	g243	OG0017900	accessory
AB1	g244	OG0034277	accessory
AB1	g245	OG0034278	accessory
AB1	g246	OG0039661	private
AB1	g247	OG0000758	core
AB1	g248	OG0017424	accessory
AB1	g249	OG0017424	accessory
AB1	g250	OG0001501	core
AB1	g8461	OG0015886	accessory
AB1	g8462	OG0004063	accessory
AB1	g8463	OG0007991	core
AB1	g8479	OG0008004	core
AB1	g8480	OG0021245	accessory
AB1	g8481	OG0008005	core
AB1	g8482	OG0008006	core
AB1	g8526	OG0008028	core
AB1	g8527	OG0008029	core
AB1	g8528	OG0024882	accessory
AB1	g8529	OG0003204	core
AB1	g8530	OG0003205	core
AB1	g8531	OG0003203	core
AB1	g8580	OG0016199	accessory
AB1	g8581	OG0002627	core
AB1	g8598	OG0008049	core
AB1	g8599	OG0018086	accessory
AB1	g8600	OG0001445	core
AB1	g8601	OG0001446	core
AB1	g8602	OG0000956	core
AB1	g10762	OG0004346	core
AB1	g10763	OG0004345	core
AB1	g10764	OG0028117	accessory
AB1	g10765	OG0004344	core
AB1	g10766	OG0004343	core
AB1	g10767	OG0025390	accessory
AB1	g10768	OG0025390	accessory
AB1	g10769	OG0025781	accessory
AB1	g10770	OG0025782	accessory
AB1	g10771	OG0001143	core
AB1	g10772	OG0016779	accessory
AB1	g10773	OG0018543	accessory
AB1	g10774	OG0001142	core
AB1	g10775	OG0016753	accessory
AB1	g10776	OG0025574	accessory
AB1	g10777	OG0025575	accessory
AB1	g10778	OG0025576	accessory
AB1	g10779	OG0027136	accessory
AB1	g10780	OG0027460	accessory
AB1	g10781	OG0001740	accessory
AB1	g10782	OG0004342	core
AB1	g10783	OG0001776	accessory
AB1	g10784	OG0001775	accessory
AB1	g10785	OG0001768	core
AB1	g10839	OG0023083	accessory
AB1	g10840	OG0018928	accessory
AB1	g11031	OG0015970	accessory
AB1	g14357	OG0008547	core
AB1	g14358	OG0023652	accessory
AB1	g14359	OG0008546	core
AB1	g14360	OG0008545	core
AB1	g14361	OG0016224	accessory
AB1	g14394	OG0008537	core
AB1	g14395	OG0015564	accessory
AB1	g14397	OG0008536	core
AB1	g14398	OG0008535	core
AB1	g14399	OG0002677	core
AB1	g14414	OG0008520	core
AB1	g14415	OG0003088	accessory
AB1	g14630	OG0002660	core
AB1	g14631	OG0008433	core
AB1	g16392	OG0008074	core
AB1	g16393	OG0008073	core
AB1	g16394	OG0002628	core
AB1	g16400	OG0019364	accessory
AB1	g16401	OG0002019	core
AB1	g16402	OG0030160	accessory
AB1	g16403	OG0016913	accessory
AB1	g16404	OG0029652	accessory
AB1	g16405	OG0025579	accessory
AB1	g16406	OG0025579	accessory
AB1	g16407	OG0017478	accessory
AB1	g16408	OG0021551	accessory
AB1	g16409	OG0000125	core
AB1	g16412	OG0003761	core
AB1	g16413	OG0000881	core
AB1	g16414	OG0020453	accessory
AB1	g16415	OG0030385	accessory
AB1	g16416	OG0002018	core
AB1	g16417	OG0008067	core
AB1	g16418	OG0015606	accessory
AB1	g16419	OG0003489	core
AB1	g16432	OG0008062	core
AB1	g16433	OG0008061	core
AB1	g16434	OG0003231	core
AB1	g16435	OG0024042	accessory
AB1	g17856	OG0022836	accessory
AB1	g17857	OG0026394	accessory
AB1	g17858	OG0021541	accessory
AB1	g17859	OG0020079	accessory
AB1	g17860	OG0017700	accessory
AB1	g17861	OG0018340	accessory
AB1	g17862	OG0025256	accessory
AB1	g17863	OG0025291	accessory
AB1	g17864	OG0019951	accessory
AB1	g17865	OG0000257	accessory
AB1	g17866	OG0000668	core
AB1	g17867	OG0022852	accessory
AB1	g17868	OG0001668	core
AB1	g17869	OG0018062	accessory
AB1	g17872	OG0030303	accessory
AB1	g17873	OG0018294	accessory
AB1	g17874	OG0023618	accessory
AB1	g17875	OG0024705	accessory
AB1	g17876	OG0022030	accessory
AB1	g17877	OG0022030	accessory
AB1	g17878	OG0031951	accessory
AB1	g17879	OG0024117	accessory
AB1	g17880	OG0007240	core
AB1	g17881	OG0007241	core
AB1	g17909	OG0007251	core
AB1	g17910	OG0007252	core
AB1	g17911	OG0003738	core
AB1	g17912	OG0018930	accessory
AB1	g18016	OG0021991	accessory
AB1	g18017	OG0020423	accessory
AB1	g18018	OG0040437	private
AB1	g18019	OG0020423	accessory
AB1	g18020	OG0020400	accessory
AB1	g18021	OG0022524	accessory
AB1	g18022	OG0022160	accessory
AB1	g18023	OG0021501	accessory
AB1	g18024	OG0017960	accessory
AB1	g18025	OG0022291	accessory
AB1	g18026	OG0017960	accessory
AB1	g18027	OG0020280	accessory
AB1	g18028	OG0020190	accessory
AB1	g18029	OG0018410	accessory
AB1	g18030	OG0001195	core
AB1	g18031	OG0021866	accessory
AB1	g18032	OG0022877	accessory
AB1	g18033	OG0022059	accessory
AB1	g18034	OG0021359	accessory
AB1	g18035	OG0023318	accessory
AB1	g18036	OG0022084	accessory
AB1	g18037	OG0021934	accessory
AB1	g18151	OG0007296	core
AB1	g18152	OG0022006	accessory
AB1	g18153	OG0007297	core
AB1	g18168	OG0018691	accessory
AB1	g18169	OG0000012	accessory
AB1	g18170	OG0018255	accessory
AB1	g18171	OG0018059	accessory
AB1	g18172	OG0000806	accessory
AB1	g18173	OG0018649	accessory
AB1	g18174	OG0021645	accessory
AB1	g18175	OG0021439	accessory
AB1	g18176	OG0020972	accessory
AB1	g18177	OG0001976	accessory
AB1	g18178	OG0017820	accessory
AB1	g18179	OG0017172	accessory
AB1	g18195	OG0019245	accessory
AB1	g18196	OG0000554	accessory
AB1	g20703	OG0017681	accessory
AB1	g20704	OG0028571	accessory
AB1	g20705	OG0018198	accessory
AB1	g20706	OG0016623	accessory
AB1	g20707	OG0018758	accessory
AB1	g20708	OG0004011	accessory
AB1	g20709	OG0007478	core
AB1	g20710	OG0007479	core
AB1	g20711	OG0007480	core
AB1	g20712	OG0019499	accessory
AB1	g20713	OG0020525	accessory
AB1	g20714	OG0029936	accessory
AB1	g20715	OG0035176	accessory
AB1	g20716	OG0007481	core
AB1	g20717	OG0007482	core
AB1	g20718	OG0016987	accessory
AB1	g20719	OG0015799	accessory
AB1	g20720	OG0023730	accessory
AB1	g20721	OG0022258	accessory
AB1	g20722	OG0015790	accessory
AB1	g20723	OG0018050	accessory
AB1	g20797	OG0022932	accessory
AB1	g20798	OG0023070	accessory
AB1	g20799	OG0007505	core
AB1	g20800	OG0017405	accessory
AB1	g20801	OG0007506	core
AB1	g20802	OG0007507	core
AB1	g20803	OG0037493	accessory
AB1	g20804	OG0025946	accessory
AB1	g20919	OG0023312	accessory
AB1	g20920	OG0003295	accessory
AB1	g20921	OG0019209	accessory
AB1	g20922	OG0020860	accessory
AB1	g20931	OG0017657	accessory
AB1	g20932	OG0000563	core
AB1	g20933	OG0001391	core
AB1	g20934	OG0020897	accessory
AB1	g20935	OG0023142	accessory
AB1	g20936	OG0021498	accessory
AB1	g20937	OG0019315	accessory
AB1	g20938	OG0024116	accessory
AB1	g20939	OG0018397	accessory
AB1	g20940	OG0019429	accessory
AB1	g20941	OG0025890	accessory
AB1	g20942	OG0024575	accessory
AB1	g20943	OG0022413	accessory
AB1	g20944	OG0016569	accessory
AB1	g20945	OG0024190	accessory
AB1	g20946	OG0000531	core
AB1	g20947	OG0000940	core
AB1	g20948	OG0001271	core
AB1	g20964	OG0014953	core
AB1	g20965	OG0014952	core
AB1	g20967	OG0014950	core
AB1	g20991	OG0021665	accessory
AB1	g20992	OG0014940	core
AB1	g20994	OG0014938	core
AB1	g21955	OG0015011	core
AB1	g21956	OG0015010	core
AB1	g22120	OG0007581	core
AB1	g22121	OG0007580	accessory
AB1	g22122	OG0020689	accessory
AB1	g22123	OG0017654	accessory
AB1	g22124	OG0015687	accessory
AB1	g22125	OG0016979	accessory
AB1	g22126	OG0002005	core
AB1	g22127	OG0017850	accessory
AB1	g22128	OG0000317	accessory
AB1	g22129	OG0019889	accessory
AB1	g22130	OG0007579	core
AB1	g22131	OG0021261	accessory
AB1	g22132	OG0001436	core
AB1	g22133	OG0007578	core
AB1	g22134	OG0001207	accessory
AB1	g22135	OG0015601	accessory
AB1	g22136	OG0007577	core
AB1	g22137	OG0017594	accessory
AB1	g22138	OG0020149	accessory
AB1	g22139	OG0007576	core
AB1	g22150	OG0003251	core
AB1	g22151	OG0015647	accessory
AB1	g22152	OG0022867	accessory
AB1	g22153	OG0003250	core
AB1	g22154	OG0000017	core
AB1	g22155	OG0000017	core
AB1	g22156	OG0000017	core
AB1	g22157	OG0020639	accessory
AB1	g22158	OG0020696	accessory
AB1	g22159	OG0019454	accessory
AB1	g22160	OG0020344	accessory
AB1	g22161	OG0000017	core
AB1	g22162	OG0015646	accessory
AB1	g22163	OG0020945	accessory
AB1	g22164	OG0019772	accessory
AB1	g22165	OG0000308	accessory
AB1	g22166	OG0000308	accessory
AB1	g22167	OG0019630	accessory
AB1	g22168	OG0007574	core
AB1	g22169	OG0007573	core
AB1	g22285	OG0017825	accessory
AB1	g22286	OG0000656	core
AB1	g22287	OG0007544	core
AB1	g22288	OG0017786	accessory
AB1	g22289	OG0017898	accessory
AB1	g22290	OG0022535	accessory
AB1	g22291	OG0022226	accessory
AB1	g22292	OG0022633	accessory
AB1	g22293	OG0019902	accessory
AB1	g22294	OG0023763	accessory
AB1	g22295	OG0023891	accessory
AB1	g22296	OG0023460	accessory
AB1	g22297	OG0023786	accessory
AB1	g22298	OG0019902	accessory
AB1	g22299	OG0018338	accessory
AB1	g22300	OG0022330	accessory
AB1	g22301	OG0019284	accessory
AB1	g22302	OG0024502	accessory
AB1	g22303	OG0019527	accessory
AB1	g22304	OG0021576	accessory
AB1	g22305	OG0024408	accessory
AB1	g22306	OG0020799	accessory
AB1	g22307	OG0023154	accessory
AB1	g22308	OG0022983	accessory
AB1	g22309	OG0018962	accessory
AB1	g22310	OG0021861	accessory
AB1	g22311	OG0018899	accessory
AB1	g22312	OG0021092	accessory
AB1	g22313	OG0021350	accessory
AB1	g22314	OG0020930	accessory
AB1	g22315	OG0020872	accessory
AB1	g22316	OG0021089	accessory
AB1	g22317	OG0021254	accessory
AB1	g22318	OG0020202	accessory
AB1	g22319	OG0000098	accessory
AB1	g22320	OG0000098	accessory
AB1	g22321	OG0000098	accessory
AB1	g22322	OG0021184	accessory
AB1	g22340	OG0007543	core
AB1	g22341	OG0002587	core
AB1	g22342	OG0002586	core
AB1	g22343	OG0003746	core
AB1	g22344	OG0019499	accessory
AB1	g22345	OG0007542	core
AB1	g22346	OG0000281	core
AB1	g22347	OG0018956	accessory
AB1	g22348	OG0019231	accessory
AB1	g22349	OG0017121	accessory
AB1	g22350	OG0021212	accessory
AB1	g22351	OG0017829	accessory
AB1	g22352	OG0018039	accessory
AB1	g22353	OG0018581	accessory
AB1	g22354	OG0018720	accessory
AB1	g22355	OG0020711	accessory
AB1	g22356	OG0019826	accessory
AB1	g22357	OG0017582	accessory
AB1	g22358	OG0020838	accessory
AB1	g22359	OG0016721	accessory
AB1	g22360	OG0020371	accessory
AB1	g22361	OG0020697	accessory
AB1	g22362	OG0001749	accessory
AB1	g22363	OG0000087	accessory
AB1	g22364	OG0003742	accessory
AB1	g22365	OG0000555	accessory
AB1	g22366	OG0023620	accessory
CB4852	g6808	OG0017681	accessory
CB4852	g6809	OG0028571	accessory
CB4852	g6810	OG0018198	accessory
CB4852	g6811	OG0016623	accessory
CB4852	g6812	OG0018758	accessory
CB4852	g6813	OG0004011	accessory
CB4852	g6814	OG0007478	core
CB4852	g6815	OG0007479	core
CB4852	g6816	OG0007480	core
CB4852	g6817	OG0019499	accessory
CB4852	g6818	OG0020525	accessory
CB4852	g6819	OG0029936	accessory
CB4852	g6820	OG0035176	accessory
CB4852	g6821	OG0007481	core
CB4852	g6822	OG0007482	core
CB4852	g6900	OG0022932	accessory
CB4852	g6901	OG0023070	accessory
CB4852	g6902	OG0007505	core
CB4852	g6903	OG0017405	accessory
CB4852	g6904	OG0007506	core
CB4852	g6905	OG0007507	core
CB4852	g6906	OG0037493	accessory
CB4852	g6907	OG0025946	accessory
CB4852	g6991	OG0023096	accessory
CB4852	g6992	OG0000555	accessory
CB4852	g6993	OG0003742	accessory
CB4852	g6994	OG0000087	accessory
CB4852	g6995	OG0001749	accessory
CB4852	g6996	OG0020697	accessory
CB4852	g6997	OG0020371	accessory
CB4852	g6998	OG0016721	accessory
CB4852	g6999	OG0020838	accessory
CB4852	g7000	OG0017582	accessory
CB4852	g7001	OG0019826	accessory
CB4852	g7002	OG0025662	accessory
CB4852	g7003	OG0018720	accessory
CB4852	g7004	OG0018581	accessory
CB4852	g7005	OG0018039	accessory
CB4852	g7006	OG0017829	accessory
CB4852	g7007	OG0021212	accessory
CB4852	g7008	OG0017121	accessory
CB4852	g7009	OG0019231	accessory
CB4852	g7010	OG0000281	core
CB4852	g7011	OG0007542	core
CB4852	g7012	OG0019499	accessory
CB4852	g7013	OG0003746	core
CB4852	g7014	OG0002586	core
CB4852	g7015	OG0002587	core
CB4852	g7016	OG0007543	core
CB4852	g7027	OG0031256	accessory
CB4852	g7028	OG0016984	accessory
CB4852	g7029	OG0019363	accessory
CB4852	g7030	OG0017894	accessory
CB4852	g7032	OG0021738	accessory
CB4852	g7033	OG0024459	accessory
CB4852	g7034	OG0026566	accessory
CB4852	g7035	OG0023741	accessory
CB4852	g7036	OG0023265	accessory
CB4852	g7037	OG0018962	accessory
CB4852	g7038	OG0024008	accessory
CB4852	g7039	OG0019527	accessory
CB4852	g7040	OG0024397	accessory
CB4852	g7041	OG0019284	accessory
CB4852	g7042	OG0025013	accessory
CB4852	g7043	OG0024133	accessory
CB4852	g7044	OG0023481	accessory
CB4852	g7045	OG0034091	accessory
CB4852	g7046	OG0023482	accessory
CB4852	g7047	OG0023481	accessory
CB4852	g7048	OG0029383	accessory
CB4852	g7049	OG0021644	accessory
CB4852	g7050	OG0020258	accessory
CB4852	g7051	OG0020258	accessory
CB4852	g7052	OG0031720	accessory
CB4852	g7053	OG0021054	accessory
CB4852	g7054	OG0024726	accessory
CB4852	g7055	OG0017898	accessory
CB4852	g7056	OG0017786	accessory
CB4852	g7057	OG0007544	core
CB4852	g7058	OG0000656	core
CB4852	g7059	OG0017825	accessory
CB4852	g7060	OG0001625	core
CB4852	g7068	OG0000650	core
CB4852	g7069	OG0023520	accessory
CB4852	g7070	OG0020704	accessory
CB4852	g7071	OG0016639	accessory
CB4852	g7175	OG0007573	core
CB4852	g7176	OG0007574	core
CB4852	g7177	OG0019630	accessory
CB4852	g7178	OG0000308	accessory
CB4852	g7179	OG0000308	accessory
CB4852	g7180	OG0019772	accessory
CB4852	g7181	OG0020945	accessory
CB4852	g7182	OG0015646	accessory
CB4852	g7183	OG0000017	core
CB4852	g7184	OG0020344	accessory
CB4852	g7185	OG0019454	accessory
CB4852	g7186	OG0020696	accessory
CB4852	g7187	OG0020639	accessory
CB4852	g7188	OG0000017	core
CB4852	g7189	OG0000017	core
CB4852	g7190	OG0000017	core
CB4852	g7191	OG0003250	core
CB4852	g7192	OG0022867	accessory
CB4852	g7193	OG0015647	accessory
CB4852	g7194	OG0003251	core
CB4852	g7205	OG0007576	core
CB4852	g7206	OG0020149	accessory
CB4852	g7207	OG0017594	accessory
CB4852	g7208	OG0007577	core
CB4852	g7209	OG0015601	accessory
CB4852	g7210	OG0001207	accessory
CB4852	g7211	OG0007578	core
CB4852	g7212	OG0001436	core
CB4852	g7213	OG0021261	accessory
CB4852	g7214	OG0007579	core
CB4852	g7215	OG0019889	accessory
CB4852	g7216	OG0000317	accessory
CB4852	g7217	OG0000317	accessory
CB4852	g7220	OG0016979	accessory
CB4852	g7221	OG0015687	accessory
CB4852	g7222	OG0017654	accessory
CB4852	g7223	OG0020689	accessory
CB4852	g7224	OG0007580	accessory
CB4852	g7225	OG0007581	core
CB4852	g7268	OG0003425	core
CB4852	g7269	OG0000878	core
CB4852	g7270	OG0007593	core
CB4852	g7271	OG0007594	core
CB4852	g7272	OG0007595	core
CB4852	g7273	OG0007596	accessory
CB4852	g7286	OG0003293	core
CB4852	g11181	OG0015886	accessory
CB4852	g11182	OG0004063	accessory
CB4852	g11183	OG0007991	core
CB4852	g11199	OG0008004	core
CB4852	g11200	OG0021245	accessory
CB4852	g11201	OG0008005	core
CB4852	g11202	OG0008006	core
CB4852	g11246	OG0008028	core
CB4852	g11247	OG0008029	core
CB4852	g11248	OG0024882	accessory
CB4852	g11249	OG0003204	core
CB4852	g11249	OG0003204	core
CB4852	g11250	OG0003205	core
CB4852	g11251	OG0003203	core
CB4852	g11879	OG0015010	core
CB4852	g11880	OG0015011	core
CB4852	g12262	OG0003489	core
CB4852	g12263	OG0015606	accessory
CB4852	g12264	OG0008067	core
CB4852	g12265	OG0002018	core
CB4852	g12266	OG0032542	accessory
CB4852	g12267	OG0000086	accessory
CB4852	g12268	OG0000086	accessory
CB4852	g12269	OG0021067	accessory
CB4852	g12270	OG0020907	accessory
CB4852	g12271	OG0020453	accessory
CB4852	g12272	OG0000881	core
CB4852	g12273	OG0003761	core
CB4852	g15222	OG0020079	accessory
CB4852	g15223	OG0023876	accessory
CB4852	g15224	OG0017700	accessory
CB4852	g15225	OG0018340	accessory
CB4852	g15226	OG0022772	accessory
CB4852	g15227	OG0022904	accessory
CB4852	g15228	OG0019951	accessory
CB4852	g15229	OG0000257	accessory
CB4852	g15230	OG0023718	accessory
CB4852	g15231	OG0022477	accessory
CB4852	g15232	OG0000257	accessory
CB4852	g15233	OG0000668	core
CB4852	g15260	OG0001974	core
CB4852	g15325	OG0018921	accessory
CB4852	g15326	OG0020023	accessory
CB4852	g15327	OG0018653	accessory
CB4852	g15382	OG0000715	accessory
CB4852	g15383	OG0021991	accessory
CB4852	g15384	OG0020423	accessory
CB4852	g15385	OG0051439	private
CB4852	g15386	OG0020423	accessory
CB4852	g15387	OG0020400	accessory
CB4852	g15388	OG0022524	accessory
CB4852	g15389	OG0022160	accessory
CB4852	g15390	OG0021501	accessory
CB4852	g15391	OG0017960	accessory
CB4852	g15392	OG0022291	accessory
CB4852	g15393	OG0017960	accessory
CB4852	g15394	OG0022160	accessory
CB4852	g15395	OG0020230	accessory
CB4852	g15396	OG0020280	accessory
CB4852	g15397	OG0020190	accessory
CB4852	g15398	OG0018410	accessory
CB4852	g15399	OG0001195	core
CB4852	g15400	OG0021866	accessory
CB4852	g15401	OG0022877	accessory
CB4852	g15402	OG0022059	accessory
CB4852	g15403	OG0021359	accessory
CB4852	g15404	OG0023318	accessory
CB4852	g15405	OG0022084	accessory
CB4852	g15406	OG0021934	accessory
CB4852	g15517	OG0007296	core
CB4852	g15518	OG0037611	accessory
CB4852	g15519	OG0007297	core
CB4852	g15534	OG0018691	accessory
CB4852	g15535	OG0000012	accessory
CB4852	g15536	OG0018255	accessory
CB4852	g15537	OG0018059	accessory
CB4852	g15538	OG0000806	accessory
CB4852	g15539	OG0018649	accessory
CB4852	g15540	OG0021645	accessory
CB4852	g15541	OG0021439	accessory
CB4852	g15542	OG0020972	accessory
CB4852	g15543	OG0001976	accessory
CB4852	g15544	OG0017820	accessory
CB4852	g15545	OG0017172	accessory
CB4852	g15561	OG0019245	accessory
CB4852	g15562	OG0000554	accessory
CB4852	g19437	OG0001078	core
CB4852	g19438	OG0018693	accessory
CB4852	g20854	OG0021316	accessory
CB4852	g20855	OG0022730	accessory
CB4852	g20856	OG0016950	accessory
CB4852	g20857	OG0017872	accessory
CB4852	g20858	OG0003892	core
CB4852	g20862	OG0000664	core
CB4852	g22028	OG0004005	core
CB4852	g22055	OG0003008	core
CB4852	g22068	OG0022004	accessory
CB4852	g22069	OG0016569	accessory
CB4852	g22070	OG0020138	accessory
CB4852	g22071	OG0020139	accessory
CB4852	g22072	OG0020051	accessory
CB4852	g22073	OG0020052	accessory
CB4852	g22263	OG0020244	accessory
CB4852	g22264	OG0023883	accessory
CB4852	g22265	OG0025851	accessory
CB4852	g22266	OG0022085	accessory
CB4852	g22267	OG0026652	accessory
CB4852	g22268	OG0023665	accessory
CB4852	g22269	OG0023864	accessory
CB4852	g22270	OG0022549	accessory
CB4852	g22271	OG0023711	accessory
CB4852	g22272	OG0025459	accessory
CB4852	g22273	OG0019442	accessory
CB4852	g22274	OG0026270	accessory
CB4852	g22275	OG0023711	accessory
CB4852	g22276	OG0020500	accessory
CB4852	g22277	OG0020142	accessory
CB4852	g22278	OG0020380	accessory
CB4852	g22279	OG0001393	core
CB4852	g22280	OG0000899	core
CB4856	g309	OG0023083	accessory
CB4856	g447	OG0004378	core
CB4856	g448	OG0025681	accessory
CB4856	g482	OG0052697	private
CB4856	g483	OG0022379	accessory
CB4856	g484	OG0023692	accessory
CB4856	g485	OG0028504	accessory
CB4856	g486	OG0021986	accessory
CB4856	g487	OG0022379	accessory
CB4856	g488	OG0026928	accessory
CB4856	g489	OG0022235	accessory
CB4856	g490	OG0017462	accessory
CB4856	g491	OG0022147	accessory
CB4856	g492	OG0004387	core
CB4856	g493	OG0004388	core
CB4856	g633	OG0015689	accessory
CB4856	g634	OG0018976	accessory
CB4856	g635	OG0017858	accessory
CB4856	g636	OG0017859	accessory
CB4856	g637	OG0017748	accessory
CB4856	g638	OG0017174	accessory
CB4856	g639	OG0025308	accessory
CB4856	g640	OG0019663	accessory
CB4856	g641	OG0019376	accessory
CB4856	g648	OG0004422	core
CB4856	g649	OG0004423	core
CB4856	g1506	OG0028148	accessory
CB4856	g1507	OG0000006	accessory
CB4856	g1508	OG0004876	core
CB4856	g1509	OG0004877	core
CB4856	g1616	OG0003616	core
CB4856	g1617	OG0021520	accessory
CB4856	g1618	OG0020238	accessory
CB4856	g1619	OG0004949	core
CB4856	g1836	OG0002426	core
CB4856	g1837	OG0002427	core
CB4856	g2287	OG0000825	core
CB4856	g2288	OG0005293	core
CB4856	g2289	OG0003485	core
CB4856	g2290	OG0001855	core
CB4856	g2291	OG0032976	accessory
CB4856	g2292	OG0026827	accessory
CB4856	g2293	OG0027422	accessory
CB4856	g2294	OG0026796	accessory
CB4856	g2295	OG0029860	accessory
CB4856	g2296	OG0003105	core
CB4856	g2297	OG0003104	core
CB4856	g2298	OG0001856	core
CB4856	g2300	OG0016031	accessory
CB4856	g2301	OG0024124	accessory
CB4856	g2302	OG0023417	accessory
CB4856	g2303	OG0000246	core
CB4856	g2304	OG0000246	core
CB4856	g2305	OG0000246	core
CB4856	g2306	OG0003188	core
CB4856	g2307	OG0023697	accessory
CB4856	g2308	OG0000552	core
CB4856	g2309	OG0000224	accessory
CB4856	g2310	OG0022149	accessory
CB4856	g2311	OG0017564	accessory
CB4856	g2349	OG0005296	core
CB4856	g2350	OG0002445	core
CB4856	g2351	OG0005297	core
CB4856	g2370	OG0005305	core
CB4856	g2371	OG0041809	private
CB4856	g2372	OG0005306	core
CB4856	g2379	OG0015704	accessory
CB4856	g2380	OG0016032	accessory
CB4856	g2381	OG0015808	accessory
CB4856	g2382	OG0024564	accessory
CB4856	g2403	OG0002446	core
CB4856	g2404	OG0022923	accessory
CB4856	g2405	OG0001112	core
CB4856	g2406	OG0003639	core
CB4856	g2407	OG0000361	core
CB4856	g2408	OG0000365	core
CB4856	g2571	OG0018916	accessory
CB4856	g2572	OG0019327	accessory
CB4856	g2573	OG0019396	accessory
CB4856	g2574	OG0019439	accessory
CB4856	g2575	OG0019877	accessory
CB4856	g2576	OG0024327	accessory
CB4856	g2577	OG0020555	accessory
CB4856	g2578	OG0034848	accessory
CB4856	g2579	OG0026509	accessory
CB4856	g2580	OG0020026	accessory
CB4856	g2581	OG0026972	accessory
CB4856	g2582	OG0019817	accessory
CB4856	g2583	OG0031186	accessory
CB4856	g2584	OG0031929	accessory
CB4856	g2585	OG0020115	accessory
CB4856	g2586	OG0020158	accessory
CB4856	g2587	OG0019567	accessory
CB4856	g2588	OG0000101	accessory
CB4856	g2589	OG0020156	accessory
CB4856	g2590	OG0021019	accessory
CB4856	g2591	OG0020843	accessory
CB4856	g2592	OG0029755	accessory
CB4856	g2593	OG0019956	accessory
CB4856	g2594	OG0020504	accessory
CB4856	g2595	OG0032551	accessory
CB4856	g2596	OG0020923	accessory
CB4856	g2597	OG0020797	accessory
CB4856	g2598	OG0020855	accessory
CB4856	g2599	OG0018236	accessory
CB4856	g2600	OG0018230	accessory
CB4856	g2601	OG0025441	accessory
CB4856	g2602	OG0025441	accessory
CB4856	g2603	OG0000484	accessory
CB4856	g2604	OG0000484	accessory
CB4856	g2605	OG0018245	accessory
CB4856	g2606	OG0017911	accessory
CB4856	g2607	OG0023088	accessory
CB4856	g2608	OG0018516	accessory
CB4856	g2609	OG0018517	accessory
CB4856	g2610	OG0022864	accessory
CB4856	g2611	OG0003138	core
CB4856	g2612	OG0003641	core
