strain	ws_hdr_count	span_ws_hdrs	largest_ws_hdr	mean_ws_hdr_size	n2_hdr_count	n2_hdr_span	largest_n2_hdr	mean_n2_hdr_size	ws_class_count_accessory	ws_class_count_core	ws_class_count_private	ws_class_count_inHDR_accessory	ws_class_count_inHDR_core	ws_class_count_inHDR_private	ws_total_gene_count	ws_total_inHDR_gene_count
JU2829	72	2055269.78343353	132887	28545.413658799	77	1917000	172000	24896.1038961039	7575	15018	96	536	166	8	22689	710
JU2600	63	2203692.27791674	234297.730749977	34979.2425066149	72	1910000	159000	26527.7777777778	7544	14999	94	535	171	16	22637	722
JU258	115	3798857.81001321	327501	33033.5461740279	127	3338000	189000	26283.4645669291	7392	15003	146	925	333	14	22541	1272
JU2526	134	5169761.59761623	241957.004972615	38580.3104299719	150	4706000	257000	31373.3333333333	7309	15007	133	1054	563	27	22449	1644
JU2001	80	2907771.21309532	306826	36347.1401636914	92	2594000	185000	28195.652173913	7681	15013	127	825	232	11	22821	1068
JU1581	52	1623424.09589143	155026	31219.6941517583	56	1475000	170000	26339.2857142857	7568	15007	92	362	139	5	22667	506
JU1409	46	1134102.80777623	184508.858315099	24654.4088647006	47	1137000	159000	24191.4893617021	7421	14995	68	256	75	1	22484	332
JU1400	77	3604094.51185577	346368	46806.4222318931	87	2838000	179000	32620.6896551724	7722	15001	103	930	283	6	22826	1219
JT11398	24	749517.831460477	194821.953683443	31229.9096441865	30	683000	159000	22766.6666666667	7349	15002	71	194	60	2	22422	256
EG4725	107	4062662.66966724	434102.942488578	37968.8099968901	114	3546000	345000	31105.2631578947	7414	15036	90	990	362	8	22540	1360
ED3073	48	1634986.37889059	279818	34062.2162268872	53	1417000	159000	26735.8490566038	7393	14994	77	436	95	2	22464	533
ED3049	75	2382703.38113048	254616.178838151	31769.378415073	82	2544000	189000	31024.3902439024	7326	15021	73	529	218	3	22420	750
ED3017	35	852453.56000094	130959	24355.8160000269	43	837000	159000	19465.1162790698	7436	15016	71	188	97	0	22523	285
ECA923	97	3263728.54773199	361222	33646.6860590927	103	2980000	172000	28932.0388349515	7561	15020	75	914	215	5	22656	1134
ECA768	111	3388497.52019444	217902.592676755	30527.0046864364	125	3225000	281000	25800	7400	15006	121	747	335	12	22527	1094
ECA742	287	8864901.8920718	343169.579808235	30888.1599026892	322	7838000	270000	24341.6149068323	7632	15006	213	1571	1099	70	22851	2740
ECA741	292	8096205.1074492	351871.803139847	27726.7298200315	315	7181000	260000	22796.8253968254	7660	15079	241	1364	967	56	22980	2387
ECA738	112	3659438.01497398	281098.253097747	32673.5537051248	125	3290000	232000	26320	7532	15022	116	993	341	25	22670	1359
ECA730	228	5183287.01141917	252291.899052819	22733.7149623648	247	4702000	259000	19036.4372469636	7653	15001	106	933	642	6	22760	1581
ECA723	242	6141731.43226963	230184	25379.0555052464	265	5103000	151000	19256.6037735849	7657	15036	155	1157	717	16	22848	1890
ECA722	253	6064301.12329467	200693.95984081	23969.5696572912	274	5583000	174000	20375.9124087591	7459	15029	150	1149	735	25	22638	1909
ECA706	114	3753523.96936122	294186	32925.6488540458	130	3048000	215000	23446.1538461538	7455	15004	156	963	328	21	22615	1312
ECA703	124	4136536.59563327	353122	33359.1660938167	143	3607000	257000	25223.7762237762	7339	14990	141	1062	377	20	22470	1459
ECA701	273	13581335.0098417	977754.22176118	49748.47988953	297	12167000	837000	40966.32996633	7615	15014	373	2428	1454	118	23002	4000
ECA594	107	3140453.26660258	155182.650222346	29350.0305289961	117	3039000	208000	25974.358974359	7481	15023	97	801	279	10	22601	1090
ECA369	156	9428350.58941112	541392.514241921	60438.1448039174	177	8444000	436000	47706.2146892655	7453	15044	302	1810	1016	96	22799	2922
ECA36	280	8673351.24902883	377040	30976.2544608173	306	7424000	278000	24261.4379084967	7691	14970	120	1583	1011	21	22781	2615
ECA347	280	7130092.69883842	265621.978970096	25464.6167815658	312	6621000	223000	21221.1538461538	7459	14974	108	1192	856	16	22541	2064
ECA3088	287	14927818.8801827	1123386.19934567	52013.3062027272	317	14010000	954000	44195.5835962145	7510	15020	332	2373	1773	132	22862	4278
ECA3035	106	3529915.86894709	279960	33301.0931032744	116	3175000	231000	27370.6896551724	7360	15054	173	856	291	25	22587	1172
ECA3025	230	5638783.52723053	185334.633129192	24516.4501183936	244	5032000	215000	20622.9508196721	7904	14969	115	999	662	17	22988	1678
ECA3012	273	7126843.70735541	206039.759394571	26105.6546056975	298	6806000	196000	22838.9261744966	7409	14987	136	1154	903	16	22532	2073
ECA3005	255	10341837.2393301	991000.150537634	40556.2244679613	277	9472000	840000	34194.9458483754	7690	15002	258	1863	1132	67	22950	3062
ECA2968	65	2036538.67926285	281106.435670911	31331.3642963516	82	2008000	232000	24487.8048780488	7688	15088	181	499	216	3	22957	718
ECA2952	259	12237383.1428419	1090710.99499626	47248.5835630961	291	10493000	837000	36058.4192439863	7888	14975	128	2082	1418	15	22991	3515
ECA2948	224	7847111.35668368	846026.810552554	35031.7471280521	244	7055000	921000	28913.9344262295	7569	14992	66	1439	841	7	22627	2287
ECA2676	79	3188184.02369477	357279.278562259	40356.7597936047	92	2758000	180000	29978.2608695652	7472	15010	55	860	212	6	22537	1078
ECA2607	34	1404036.37797962	218400.534281523	41295.1875876358	36	1324000	205000	36777.7777777778	7123	15011	70	341	73	4	22204	418
ECA259	83	2500168.48893508	147594.740068105	30122.5119148805	89	2342000	172000	26314.606741573	7549	15002	79	612	237	10	22630	859
ECA2581	186	6688121.14212554	471036.122086832	35957.640549062	207	6020000	287000	29082.1256038647	7598	14988	87	1317	809	8	22673	2134
ECA2565	15	994816.993234293	217886.534281523	66321.1328822862	17	905000	205000	53235.2941176471	7500	15009	65	299	20	4	22574	323
ECA2561	139	4701158.27083082	394025.752097596	33821.2825239627	154	3902000	215000	25337.6623376623	7591	14988	104	951	506	4	22683	1461
ECA2555	64	2216026.11546143	357277.278562259	34625.4080540848	71	1907000	156000	26859.1549295775	7575	15047	124	583	163	3	22746	749
ECA2529	72	2304842.06777236	282477.253097747	32011.6953857273	75	2134000	232000	28453.3333333333	7487	14999	78	598	187	6	22564	791
ECA251	56	1636471.13266819	137919.935729319	29222.6987976462	60	1588000	172000	26466.6666666667	7562	15013	56	458	95	1	22631	554
ECA250	58	1679774.92785132	137959.935729319	28961.6366870918	62	1639000	172000	26435.4838709677	7631	15007	99	471	110	3	22737	584
ECA248	65	1921757.48676598	228505.632375762	29565.4997963997	69	1831000	172000	26536.231884058	7503	15001	62	505	129	1	22566	635
ECA2473	234	5863435.42398516	327597.254855416	25057.4163418169	260	5216000	199000	20061.5384615385	7421	14997	113	1162	716	11	22531	1889
ECA2452	117	3802074.87264954	243800	32496.3664329021	130	3120000	177000	24000	7658	14999	107	867	395	13	22764	1275
ECA2417	224	5797822.13674388	356955.849441972	25883.1345390352	247	5098000	198000	20639.6761133603	7536	14998	133	1147	705	15	22667	1867
ECA2377	119	4207725.0490078	335377.169224903	35359.0340252756	134	3610000	217000	26940.2985074627	7921	15012	157	1033	392	12	23090	1437
ECA2367	294	7301350.79586553	208788.604852044	24834.5265165494	320	6987000	184000	21834.375	7575	14967	159	1297	916	28	22701	2241
ECA2336	257	12580792.6698541	1101964.99499626	48952.5006609107	285	10563000	841000	37063.1578947368	7880	14975	86	2186	1380	19	22941	3585
ECA2281	262	14005778.3596573	1112410.90759462	53457.169311669	292	12271000	920000	42023.9726027397	7905	14978	87	2384	1624	12	22970	4020
ECA2199	319	15461988.4958036	954110	48470.1833724249	350	12869000	837000	36768.5714285714	7365	15057	425	2332	1686	143	22847	4161
ECA2187	272	13231412.1492326	1088250.99499625	48644.8976074727	297	11264000	837000	37925.9259259259	7810	14987	94	2249	1433	13	22891	3695
ECA2151	198	8817228.62664676	1010079.7017844	44531.4577103372	218	8763000	921000	40197.247706422	7479	14999	159	1442	918	23	22637	2383
ECA2111	95	2608346.36660049	190186	27456.2775431631	103	2372000	172000	23029.1262135922	7723	15009	93	633	213	9	22825	855
ECA2109	262	14410314.3903384	1114880.90759462	55001.1999631238	295	12353000	920000	41874.5762711864	7912	14968	89	2423	1626	19	22969	4068
ECA2081	227	5954751.07958219	347993.607621627	26232.3836104942	256	5279000	198000	20621.09375	7494	14988	126	1176	720	13	22608	1909
ECA1997	250	6237866.86461397	289808.996164664	24951.4674584559	276	5533000	232000	20047.1014492754	7468	15005	127	1235	759	10	22600	2004
ECA1943	112	3961756.09883783	334085.372615404	35372.822311052	124	3423000	210000	27604.8387096774	7807	15019	105	1070	358	7	22931	1435
ECA191	234	6293770.77189638	236145	26896.4562901555	255	5539000	175000	21721.568627451	7322	14998	144	1221	719	37	22464	1977
ECA1889	111	3532992.20890412	281074.340231929	31828.7586387759	120	3446000	232000	28716.6666666667	7486	15022	116	844	335	12	22624	1191
ECA1851	276	13866250.704141	1137866.90759462	50240.0387831195	309	11957000	920000	38695.7928802589	7816	14978	156	2435	1583	57	22950	4075
ECA1843	291	7628670.44437688	222788.488689503	26215.3623518106	315	7248000	195000	23009.5238095238	7519	14983	160	1305	933	41	22662	2279
ECA1825	243	6755226.62888925	377094	27799.2865386389	266	6026000	278000	22654.1353383459	7816	14964	90	1272	813	9	22870	2094
ECA1769	217	9381784.2274694	1218480.88551569	43234.0286980157	231	7909000	954000	34238.0952380952	7669	14985	85	1692	1005	21	22739	2718
ECA1761	250	10798623.5778391	971286.289534348	43194.4943113562	267	9737000	837000	36468.1647940075	7882	14980	168	1799	1152	63	23030	3014
ECA1757	110	3389848.74841038	281092.253097747	30816.8068037307	119	3149000	232000	26462.1848739496	7488	15015	99	871	338	8	22602	1217
ECA1751	216	5652460.76899492	298390	26168.799856458	234	5021000	259000	21457.264957265	7484	14977	80	1017	694	11	22541	1722
ECA1725	253	11001072.8406292	1201142.89480842	43482.5013463605	276	9816000	920000	35565.2173913043	7630	14974	127	1854	1162	21	22731	3037
ECA1693	181	5160105.64703297	328909.302679053	28508.8709780827	198	4375000	259000	22095.9595959596	7517	15006	116	1110	559	22	22639	1691
ECA1493	296	15104880.3860398	1111962.1808344	51030.0013041885	323	14164000	1138000	43851.3931888545	7413	15025	288	2460	1772	112	22726	4344
ECA1413	115	3185266.85765926	155528.274576409	27697.9726752979	125	2947000	172000	23576	7609	15011	88	758	303	7	22708	1068
ECA1409	225	7903415.85743656	590965.290459206	35126.292699718	244	6683000	471000	27389.3442622951	7585	14994	80	1489	870	11	22659	2370
ECA1287	215	5792653.49209588	240872	26942.5743818413	237	5162000	218000	21780.5907172996	7587	14980	158	1215	649	23	22725	1887
ECA1286	242	6425233.91589427	338806.38997453	26550.5533714639	272	5651000	277000	20775.7352941176	7396	15005	194	1259	762	41	22595	2062
ECA1260	125	4398325.84155923	308457.056273155	35186.6067324738	140	3931000	238000	28078.5714285714	7705	15000	145	1063	469	30	22850	1562
ECA1255	108	3515785.24550997	281216.442096071	32553.5670880553	121	3214000	232000	26561.9834710744	7510	15000	81	861	314	10	22591	1185
ECA1243	111	3987160.52074473	293959.219871085	35920.3650517544	122	3654000	237000	29950.8196721311	7424	15009	123	961	381	10	22556	1352
ECA1237	240	5990335.48560158	167412.841548077	24959.7311900066	266	5223000	164000	19635.3383458647	7535	15011	141	1153	724	15	22687	1892
ECA1228	232	6128678.13097	243171.989458226	26416.7160817672	259	5480000	189000	21158.3011583012	7324	14994	142	1171	722	26	22460	1919
ECA1208	232	5803764.05273264	289813.996164664	25016.2243652269	249	5086000	232000	20425.702811245	7444	14994	160	1096	695	25	22598	1816
ECA1202	230	5708772.81419803	243171.989458224	24820.7513660784	249	5065000	259000	20341.3654618474	7334	15004	171	1093	635	38	22509	1766
ECA1195	239	5434947.23679925	170922.765910349	22740.3650075283	263	5057000	187000	19228.1368821293	7586	14978	110	886	693	12	22674	1591
ECA1187	278	6634545.50868225	224181	23865.2716139649	299	6238000	303000	20862.8762541806	7434	14967	147	1139	844	28	22548	2011
ECA1186	75	2199915.11218843	134631	29332.2014958457	85	1913000	171000	22505.8823529412	7420	15006	122	551	198	6	22548	755
ECA1185	284	7657173.54331043	220655.49138239	26961.8786736283	312	7063000	218000	22637.8205128205	7560	14967	129	1342	948	18	22656	2308
DL238	135	4096589.63028988	243782	30345.1083725176	146	3767000	177000	25801.3698630137	7514	15011	151	906	459	19	22676	1384
CX11314	77	2547602.88238854	161994.530941704	33085.7517193317	84	2394000	172000	28500	7674	15001	74	704	183	7	22749	894
CX11264	90	2917767.84336321	182554.286152623	32419.6427040357	97	2701000	172000	27845.3608247423	7494	15001	89	735	237	9	22584	981
CX11254	81	2412094.16507626	171733.530941704	29778.9403095835	88	2230000	172000	25340.9090909091	7449	15003	72	658	201	1	22524	860
CB4856	121	4170964.068555	330597.652886671	34470.7774260744	138	3552000	187000	25739.1304347826	7255	15006	110	1122	364	21	22371	1507
CB4852	32	758281.853540475	119232.036749231	23696.3079231398	33	705000	135000	21363.6363636364	7480	14996	78	184	67	1	22554	252
AB1	45	1441439.96085111	134535.542352386	32031.9991300246	49	1300000	136000	26530.612244898	7627	15021	82	267	151	3	22730	421
