strain	gene	class
CB4852	g7060	core
CB4852	g7068	core
CB4852	g7069	accessory
CB4852	g7070	accessory
CB4852	g7071	accessory
CB4852	g7175	core
CB4852	g7176	core
CB4852	g7177	accessory
CB4852	g7178	accessory
CB4852	g7179	accessory
CB4852	g7180	accessory
CB4852	g7181	accessory
CB4852	g7182	accessory
CB4852	g7183	core
CB4852	g7184	accessory
CB4852	g7185	accessory
CB4852	g7186	accessory
CB4852	g7187	accessory
CB4852	g7188	core
CB4852	g7189	core
CB4852	g7190	core
CB4852	g7191	core
CB4852	g7192	accessory
CB4852	g7193	accessory
CB4852	g7194	core
CB4852	g7205	core
CB4852	g7206	accessory
CB4852	g7207	accessory
CB4852	g7208	core
CB4852	g7209	accessory
CB4852	g7210	accessory
CB4852	g7211	core
CB4852	g7212	core
CB4852	g7213	accessory
CB4852	g7214	core
CB4852	g7215	accessory
CB4852	g7216	accessory
CB4852	g7217	accessory
CB4852	g7220	accessory
CB4852	g7221	accessory
CB4852	g7222	accessory
CB4852	g7223	accessory
CB4852	g7224	accessory
CB4852	g7225	core
CB4852	g7268	core
CB4852	g7269	core
CB4852	g7270	core
CB4852	g7271	core
CB4852	g7272	core
CB4852	g7273	accessory
CB4852	g7286	core
CB4852	g11181	accessory
CB4852	g11182	accessory
CB4852	g11183	core
CB4852	g11199	core
CB4852	g11200	accessory
CB4852	g11201	core
CB4852	g11202	core
CB4852	g11246	core
CB4852	g11247	core
CB4852	g11248	accessory
CB4852	g11249	core
CB4852	g11249	core
CB4852	g11250	core
CB4852	g11251	core
CB4852	g11879	core
CB4852	g11880	core
CB4852	g12262	core
CB4852	g12263	accessory
CB4852	g12264	core
CB4852	g12265	core
CB4852	g12266	accessory
CB4852	g12267	accessory
CB4852	g12268	accessory
CB4852	g12269	accessory
CB4852	g12270	accessory
CB4852	g12271	accessory
CB4852	g12272	core
CB4852	g12273	core
CB4852	g15222	accessory
CB4852	g15223	accessory
CB4852	g15224	accessory
CB4852	g15225	accessory
CB4852	g15226	accessory
CB4852	g15227	accessory
CB4852	g15228	accessory
CB4852	g15229	accessory
CB4852	g15230	accessory
CB4852	g15231	accessory
CB4852	g15232	accessory
CB4852	g15233	core
CB4852	g15260	core
CB4852	g15325	accessory
CB4852	g15326	accessory
CB4852	g15327	accessory
CB4852	g15382	accessory
CB4852	g15383	accessory
CB4852	g15384	accessory
CB4852	g15385	private
CB4852	g15386	accessory
CB4852	g15387	accessory
CB4852	g15388	accessory
CB4852	g15389	accessory
CB4852	g15390	accessory
CB4852	g15391	accessory
CB4852	g15392	accessory
CB4852	g15393	accessory
CB4852	g15394	accessory
CB4852	g15395	accessory
CB4852	g15396	accessory
CB4852	g15397	accessory
CB4852	g15398	accessory
CB4852	g15399	core
CB4852	g15400	accessory
CB4852	g15401	accessory
CB4852	g15402	accessory
CB4852	g15403	accessory
CB4852	g15404	accessory
CB4852	g15405	accessory
CB4852	g15406	accessory
CB4852	g15517	core
CB4852	g15518	accessory
CB4852	g15519	core
CB4852	g15534	accessory
CB4852	g15535	accessory
CB4852	g15536	accessory
CB4852	g15537	accessory
CB4852	g15538	accessory
CB4852	g15539	accessory
CB4852	g15540	accessory
CB4852	g15541	accessory
CB4852	g15542	accessory
CB4852	g15543	accessory
CB4852	g15544	accessory
CB4852	g15545	accessory
CB4852	g15561	accessory
CB4852	g15562	accessory
CB4852	g19437	core
CB4852	g19438	accessory
CB4852	g20854	accessory
CB4852	g20855	accessory
CB4852	g20856	accessory
CB4852	g20857	accessory
CB4852	g20858	core
CB4852	g20862	core
CB4852	g22028	core
CB4852	g22055	core
CB4852	g22068	accessory
CB4852	g22069	accessory
CB4852	g22070	accessory
CB4852	g22071	accessory
CB4852	g22072	accessory
CB4852	g22073	accessory
CB4852	g22263	accessory
CB4852	g22264	accessory
CB4852	g22265	accessory
CB4852	g22266	accessory
CB4852	g22267	accessory
CB4852	g22268	accessory
CB4852	g22269	accessory
CB4852	g22270	accessory
CB4852	g22271	accessory
CB4852	g22272	accessory
CB4852	g22273	accessory
CB4852	g22274	accessory
CB4852	g22275	accessory
CB4852	g22276	accessory
CB4852	g22277	accessory
CB4852	g22278	accessory
CB4852	g22279	core
CB4852	g22280	core
CB4856	g309	accessory
CB4856	g447	core
CB4856	g448	accessory
CB4856	g482	private
CB4856	g483	accessory
CB4856	g484	accessory
CB4856	g485	accessory
CB4856	g486	accessory
CB4856	g487	accessory
CB4856	g488	accessory
CB4856	g489	accessory
CB4856	g490	accessory
CB4856	g491	accessory
CB4856	g492	core
CB4856	g493	core
CB4856	g633	accessory
CB4856	g634	accessory
CB4856	g635	accessory
CB4856	g636	accessory
CB4856	g637	accessory
CB4856	g638	accessory
CB4856	g639	accessory
CB4856	g640	accessory
CB4856	g641	accessory
CB4856	g648	core
CB4856	g649	core
CB4856	g1506	accessory
CB4856	g1507	accessory
CB4856	g1508	core
CB4856	g1509	core
CB4856	g1616	core
CB4856	g1617	accessory
CB4856	g1618	accessory
CB4856	g1619	core
CB4856	g1836	core
CB4856	g1837	core
CB4856	g2287	core
CB4856	g2288	core
CB4856	g2289	core
CB4856	g2290	core
CB4856	g2291	accessory
CB4856	g2292	accessory
CB4856	g2293	accessory
CB4856	g2294	accessory
CB4856	g2295	accessory
CB4856	g2296	core
CB4856	g2297	core
CB4856	g2298	core
CB4856	g2300	accessory
CB4856	g2301	accessory
CB4856	g2302	accessory
CB4856	g2303	core
CB4856	g2304	core
CB4856	g2305	core
CB4856	g2306	core
CB4856	g2307	accessory
CB4856	g2308	core
CB4856	g2309	accessory
CB4856	g2310	accessory
CB4856	g2311	accessory
CB4856	g2349	core
CB4856	g2350	core
CB4856	g2351	core
CB4856	g2370	core
CB4856	g2371	private
CB4856	g2372	core
CB4856	g2379	accessory
CB4856	g2380	accessory
CB4856	g2381	accessory
CB4856	g2382	accessory
CB4856	g2403	core
CB4856	g2404	accessory
CB4856	g2405	core
CB4856	g2406	core
CB4856	g2407	core
CB4856	g2408	core
CB4856	g2571	accessory
CB4856	g2572	accessory
CB4856	g2573	accessory
CB4856	g2574	accessory
CB4856	g2575	accessory
CB4856	g2576	accessory
CB4856	g2577	accessory
CB4856	g2578	accessory
CB4856	g2579	accessory
CB4856	g2580	accessory
CB4856	g2581	accessory
CB4856	g2582	accessory
CB4856	g2583	accessory
CB4856	g2584	accessory
CB4856	g2585	accessory
CB4856	g2586	accessory
CB4856	g2587	accessory
CB4856	g2588	accessory
CB4856	g2589	accessory
CB4856	g2590	accessory
CB4856	g2591	accessory
CB4856	g2592	accessory
CB4856	g2593	accessory
CB4856	g2594	accessory
CB4856	g2595	accessory
CB4856	g2596	accessory
CB4856	g2597	accessory
CB4856	g2598	accessory
CB4856	g2599	accessory
CB4856	g2600	accessory
CB4856	g2601	accessory
CB4856	g2602	accessory
CB4856	g2603	accessory
CB4856	g2604	accessory
CB4856	g2605	accessory
CB4856	g2606	accessory
CB4856	g2607	accessory
CB4856	g2608	accessory
CB4856	g2609	accessory
CB4856	g2610	accessory
CB4856	g2611	core
CB4856	g2612	core
CB4856	g2613	core
CB4856	g2694	core
CB4856	g2695	core
CB4856	g2696	accessory
CB4856	g2697	core
CB4856	g2698	core
CB4856	g2699	core
CB4856	g2700	core
CB4856	g2705	core
CB4856	g2706	core
CB4856	g2707	core
CB4856	g2718	core
CB4856	g2719	core
CB4856	g2720	core
CB4856	g2721	core
CB4856	g2722	core
CB4856	g2723	core
CB4856	g2729	core
CB4856	g2730	accessory
CB4856	g2731	accessory
CB4856	g2732	accessory
CB4856	g2733	accessory
CB4856	g2734	core
CB4856	g2735	core
CB4856	g2736	accessory
CB4856	g2737	core
CB4856	g2738	core
CB4856	g2739	core
CB4856	g2745	core
CB4856	g2746	core
CB4856	g2747	core
CB4856	g2748	accessory
CB4856	g2749	core
CB4856	g2750	core
CB4856	g2751	core
CB4856	g2752	accessory
CB4856	g3053	core
CB4856	g3054	core
CB4856	g3055	core
CB4856	g3340	core
CB4856	g3341	core
CB4856	g3342	core
CB4856	g3343	core
CB4856	g3576	core
CB4856	g3577	core
CB4856	g3578	core
CB4856	g3579	core
CB4856	g3580	accessory
CB4856	g3581	accessory
CB4856	g3582	core
CB4856	g3583	accessory
CB4856	g3584	accessory
CB4856	g3585	core
CB4856	g3586	core
CB4856	g3587	accessory
CB4856	g3588	accessory
CB4856	g3589	accessory
CB4856	g3590	accessory
CB4856	g3591	core
CB4856	g3592	accessory
CB4856	g3593	core
CB4856	g3594	core
CB4856	g3595	accessory
CB4856	g3596	core
CB4856	g3597	core
CB4856	g3598	accessory
CB4856	g3599	core
CB4856	g3600	accessory
CB4856	g3601	core
CB4856	g3696	core
CB4856	g3697	core
CB4856	g3698	accessory
CB4856	g3699	core
CB4856	g3700	accessory
CB4856	g3701	core
CB4856	g3702	accessory
CB4856	g3703	accessory
CB4856	g3704	accessory
CB4856	g3705	core
CB4856	g3706	accessory
CB4856	g3707	core
CB4856	g3708	accessory
CB4856	g3709	core
CB4856	g3710	core
CB4856	g3711	core
CB4856	g3712	core
CB4856	g3713	core
CB4856	g3714	accessory
CB4856	g3715	core
CB4856	g3716	accessory
CB4856	g3717	core
CB4856	g3718	core
CB4856	g3719	accessory
CB4856	g3720	accessory
CB4856	g3721	accessory
CB4856	g3722	core
CB4856	g3723	core
CB4856	g5002	core
CB4856	g5003	accessory
CB4856	g5004	accessory
CB4856	g5005	accessory
CB4856	g5006	core
CB4856	g5007	core
CB4856	g5008	core
CB4856	g5009	accessory
CB4856	g5010	core
CB4856	g5011	core
CB4856	g5012	core
CB4856	g5013	core
CB4856	g5825	private
CB4856	g5827	core
CB4856	g5828	core
CB4856	g5850	core
CB4856	g5851	core
CB4856	g5852	accessory
CB4856	g5955	accessory
CB4856	g5956	accessory
CB4856	g5957	accessory
CB4856	g5958	accessory
CB4856	g5959	accessory
CB4856	g5960	accessory
CB4856	g5961	accessory
CB4856	g5962	core
CB4856	g5964	accessory
CB4856	g5965	accessory
CB4856	g5966	accessory
CB4856	g5967	private
CB4856	g5968	accessory
CB4856	g5969	accessory
CB4856	g5970	accessory
CB4856	g5971	accessory
CB4856	g5972	accessory
CB4856	g5973	accessory
CB4856	g5974	core
CB4856	g5981	core
CB4856	g5982	accessory
CB4856	g5983	accessory
CB4856	g5984	core
CB4856	g5985	accessory
CB4856	g5986	core
CB4856	g5987	core
CB4856	g5988	core
CB4856	g5989	accessory
CB4856	g5990	accessory
CB4856	g5991	accessory
CB4856	g5992	accessory
CB4856	g5993	accessory
CB4856	g5994	accessory
CB4856	g5995	accessory
CB4856	g5996	accessory
CB4856	g5997	accessory
CB4856	g5998	accessory
CB4856	g5999	accessory
CB4856	g6000	core
CB4856	g6001	core
CB4856	g6033	accessory
CB4856	g6034	accessory
CB4856	g6035	accessory
CB4856	g6036	accessory
CB4856	g6037	accessory
CB4856	g6038	accessory
CB4856	g6039	accessory
CB4856	g6040	accessory
CB4856	g6041	accessory
CB4856	g6042	accessory
CB4856	g6043	accessory
CB4856	g6044	accessory
CB4856	g6062	core
CB4856	g6063	accessory
CB4856	g6064	accessory
CB4856	g6065	core
CB4856	g6066	core
CB4856	g6067	accessory
CB4856	g6068	accessory
CB4856	g6069	accessory
CB4856	g6070	accessory
CB4856	g6071	core
CB4856	g6072	core
CB4856	g6073	core
CB4856	g6074	core
CB4856	g6075	accessory
CB4856	g6076	core
CB4856	g6077	core
CB4856	g6078	accessory
CB4856	g6079	core
CB4856	g6080	accessory
CB4856	g6081	accessory
CB4856	g6082	accessory
CB4856	g6083	accessory
CB4856	g6084	accessory
CB4856	g6085	accessory
CB4856	g6086	accessory
CB4856	g6087	accessory
CB4856	g6088	accessory
CB4856	g6089	accessory
CB4856	g6090	accessory
CB4856	g6091	accessory
CB4856	g6092	core
CB4856	g6093	accessory
CB4856	g6094	accessory
CB4856	g6095	accessory
CB4856	g6096	accessory
CB4856	g6097	accessory
CB4856	g6098	accessory
CB4856	g6099	accessory
CB4856	g6100	private
CB4856	g6101	core
CB4856	g6102	core
CB4856	g6103	accessory
CB4856	g6104	accessory
CB4856	g6105	core
CB4856	g6106	accessory
CB4856	g6107	core
CB4856	g6108	accessory
CB4856	g6109	accessory
CB4856	g6110	core
CB4856	g6111	core
CB4856	g6174	accessory
CB4856	g6175	accessory
CB4856	g6176	accessory
CB4856	g6177	accessory
CB4856	g6201	core
CB4856	g6202	accessory
CB4856	g6203	accessory
CB4856	g6204	accessory
CB4856	g6205	accessory
CB4856	g6206	accessory
CB4856	g6207	accessory
CB4856	g6208	accessory
CB4856	g6209	core
CB4856	g6210	accessory
CB4856	g6211	core
CB4856	g6212	core
CB4856	g6213	core
CB4856	g6214	core
CB4856	g6215	core
CB4856	g6216	accessory
CB4856	g6217	core
CB4856	g6218	accessory
CB4856	g6219	accessory
CB4856	g6220	accessory
CB4856	g6221	accessory
CB4856	g6222	accessory
CB4856	g6223	core
CB4856	g6224	accessory
CB4856	g6225	accessory
CB4856	g6230	accessory
CB4856	g6231	accessory
CB4856	g6232	accessory
CB4856	g6233	core
CB4856	g6234	core
CB4856	g6235	core
CB4856	g6282	accessory
CB4856	g6283	accessory
CB4856	g6284	accessory
CB4856	g6285	accessory
CB4856	g6286	accessory
CB4856	g6287	accessory
CB4856	g6288	accessory
CB4856	g6289	accessory
CB4856	g6290	accessory
CB4856	g6291	accessory
CB4856	g6292	accessory
CB4856	g6293	accessory
CB4856	g6294	accessory
CB4856	g6295	accessory
CB4856	g6296	accessory
CB4856	g6297	accessory
CB4856	g6298	accessory
CB4856	g6299	accessory
CB4856	g6300	accessory
CB4856	g6301	accessory
CB4856	g6302	core
CB4856	g6303	accessory
CB4856	g6304	accessory
CB4856	g6305	accessory
CB4856	g6306	accessory
CB4856	g6307	accessory
CB4856	g6308	accessory
CB4856	g6309	accessory
CB4856	g6310	accessory
CB4856	g6311	accessory
CB4856	g6312	core
CB4856	g6313	accessory
CB4856	g6314	accessory
CB4856	g6315	core
CB4856	g6316	accessory
CB4856	g6317	accessory
CB4856	g6318	core
CB4856	g6319	accessory
CB4856	g6320	core
CB4856	g6321	core
CB4856	g6322	core
CB4856	g6346	core
CB4856	g6347	core
CB4856	g6348	accessory
CB4856	g6349	accessory
CB4856	g6350	accessory
CB4856	g6376	accessory
CB4856	g6377	accessory
CB4856	g6378	accessory
CB4856	g6510	core
CB4856	g6511	core
CB4856	g6512	core
CB4856	g6513	accessory
CB4856	g6514	core
CB4856	g6515	accessory
CB4856	g6516	accessory
CB4856	g6517	core
CB4856	g6518	core
CB4856	g6519	accessory
CB4856	g6520	core
CB4856	g6521	accessory
CB4856	g6522	core
CB4856	g6523	core
CB4856	g6524	core
CB4856	g6525	accessory
CB4856	g6526	accessory
CB4856	g6527	core
CB4856	g6528	core
CB4856	g6529	core
CB4856	g6530	accessory
CB4856	g6531	core
CB4856	g6532	core
CB4856	g6533	core
CB4856	g6534	core
CB4856	g6550	core
CB4856	g6551	core
CB4856	g6552	core
CB4856	g6553	core
CB4856	g6554	accessory
CB4856	g6555	accessory
CB4856	g6556	accessory
CB4856	g6557	accessory
CB4856	g6558	accessory
CB4856	g6601	accessory
CB4856	g6602	accessory
CB4856	g6603	accessory
CB4856	g6604	accessory
CB4856	g6605	accessory
CB4856	g6606	accessory
CB4856	g6607	accessory
CB4856	g6608	accessory
CB4856	g6609	accessory
CB4856	g6610	accessory
CB4856	g6611	accessory
CB4856	g6612	accessory
CB4856	g6613	core
CB4856	g6614	accessory
CB4856	g6615	core
CB4856	g6616	accessory
CB4856	g6621	accessory
CB4856	g6622	accessory
CB4856	g6623	accessory
CB4856	g6624	accessory
CB4856	g6625	accessory
CB4856	g6626	accessory
CB4856	g6627	accessory
CB4856	g6628	core
CB4856	g6629	core
CB4856	g6641	accessory
CB4856	g6642	accessory
CB4856	g6643	accessory
CB4856	g6644	accessory
CB4856	g6685	core
CB4856	g6686	accessory
CB4856	g6687	accessory
CB4856	g6688	accessory
CB4856	g6689	accessory
CB4856	g6690	accessory
CB4856	g6691	accessory
CB4856	g6756	accessory
CB4856	g6757	core
CB4856	g6758	accessory
CB4856	g6759	accessory
CB4856	g6760	accessory
CB4856	g6761	accessory
CB4856	g6762	accessory
CB4856	g6763	accessory
CB4856	g6764	accessory
CB4856	g6765	accessory
CB4856	g6766	accessory
CB4856	g6767	accessory
CB4856	g6768	accessory
CB4856	g6769	accessory
CB4856	g6770	accessory
CB4856	g6771	accessory
CB4856	g6772	accessory
CB4856	g6773	accessory
CB4856	g6774	accessory
