strain	gene
ECA1693	g6201
ECA1693	g6194
ECA1693	g6193
ECA1693	g13331
ECA1693	g13327
ECA1693	g12827
ECA1693	g13352
ECA1693	g4463
ECA1693	g16458
ECA1693	g13332
ECA1693	g13088
ECA1693	g11415
ECA1693	g2387
ECA1693	g12825
ECA1693	g6202
ECA1693	g15698
ECA1693	g12830
ECA1693	g13333
ECA1693	g13330
ECA1693	g7344
ECA1693	g7336
ECA1693	g7340
ECA1693	g7348
ECA1693	g6197
ECA1693	g6203
ECA1693	g17873
ECA1693	g9673
ECA1693	g12829
ECA1693	g1177
ECA1693	g110
ECA1693	g12794
ECA1693	g11753
ECA1693	g12831
ECA1693	g15697
ECA1693	g6198
ECA1693	g12823
ECA1693	g7629
ECA1693	g12828
ECA1693	g13880
ECA1693	g18061
ECA1693	g22211
ECA1693	g1095
ECA1693	g18056
ECA1693	g6200
ECA1693	g11416
ECA1693	g11389
ECA1693	g11833
ECA1693	g6195
ECA1693	g6199
ECA1693	g2391
ECA1693	g18060
ECA1693	g14442
ECA1693	g15707
ECA1693	g12428
ECA1693	g13326
ECA1693	g14783
ECA1693	g18031
ECA1693	g9298
ECA1693	g12821
ECA742	g14734
ECA742	g9163
ECA742	g11912
ECA742	g14730
ECA742	g22495
ECA742	g20764
ECA742	g14751
ECA742	g7322
ECA742	g3480
ECA742	g14748
ECA742	g15213
ECA742	g10242
ECA742	g1942
ECA742	g3481
ECA742	g14750
ECA742	g4581
ECA742	g14395
ECA742	g20766
ECA742	g17377
ECA742	g12726
ECA742	g12690
ECA742	g15221
ECA742	g12328
ECA742	g10750
ECA742	g14728
ECA742	g12783
ECA742	g10064
ECA742	g1980
ECA742	g12355
ECA742	g1975
ECA742	g1982
ECA742	g1983
ECA742	g14749
ECA742	g14754
ECA742	g4582
ECA742	g14211
ECA742	g11196
ECA742	g15529
ECA742	g15066
ECA742	g15172
ECA742	g4111
ECA742	g15237
ECA742	g14982
ECA742	g14978
ECA742	g240
ECA742	g15222
ECA742	g15215
ECA742	g12356
ECA742	g1974
ECA742	g8121
ECA742	g10207
ECA742	g10065
ECA742	g10066
ECA742	g845
ECA742	g853
ECA742	g849
ECA742	g841
ECA742	g7135
ECA742	g16076
ECA742	g1979
ECA742	g1973
ECA742	g9373
ECA742	g14753
ECA742	g22135
ECA742	g10596
ECA742	g20765
ECA742	g4898
ECA742	g16075
ECA742	g12686
ECA742	g8122
ECA742	g1972
ECA742	g1978
ECA742	g21737
ECA742	g15219
ECA742	g14735
ECA742	g7325
ECA742	g22144
ECA742	g4980
ECA742	g7320
ECA742	g1976
ECA742	g14755
ECA742	g15239
ECA742	g15220
ECA742	g1981
ECA742	g14752
ECA742	g15212
ECA742	g1977
ECA742	g20760
ECA742	g7324
ECA742	g15218
ECA742	g15216
ECA742	g15214
ECA742	g8111
ECA742	g9027
ECA742	g7295
ECA1243	g7793
ECA1243	g17935
ECA1243	g12670
ECA1243	g19834
ECA1243	g7288
ECA1243	g7817
ECA1243	g7797
ECA1243	g3283
ECA1243	g13826
ECA1243	g7284
ECA1243	g8815
ECA1243	g1208
ECA1243	g7308
ECA1243	g7307
ECA1243	g21630
ECA1243	g3109
ECA1243	g7820
ECA1243	g9333
ECA1243	g7788
ECA1243	g7792
ECA1243	g11368
ECA1243	g11375
ECA1243	g11288
ECA1243	g9784
ECA1243	g17936
ECA1243	g5119
ECA1243	g1176
ECA1243	g7818
ECA1243	g7744
ECA1243	g7826
ECA1243	g7786
ECA1243	g1170
ECA1243	g7311
ECA1243	g6933
ECA1243	g1173
ECA1243	g7282
ECA1243	g7785
ECA1243	g11333
ECA1243	g1171
ECA1243	g7815
ECA1243	g7306
ECA1243	g1174
ECA1243	g7309
ECA1243	g7310
ECA1243	g13827
ECA1243	g10948
ECA1243	g10947
ECA1243	g7289
ECA1243	g1172
ECA1243	g7795
ECA1243	g7305
ECA1243	g7547
ECA1243	g10915
ECA1243	g17934
ECA1243	g7787
ECA1243	g214
ECA1243	g7789
ECA1243	g8663
ECA1243	g15873
ECA1243	g13696
ECA1243	g22494
ECA1243	g2303
ECA1243	g7303
ECA1243	g3281
ECA1243	g9171
ECA1243	g14455
ECA1243	g1177
ECA1243	g20886
ECA1243	g3256
ECA1243	g14918
ECA1243	g10498
ECA1243	g7819
ECA1243	g19833
ECA1243	g3286
ECA1243	g21621
ECA1243	g20805
ECA1243	g7312
ECA1243	g15872
ECA1243	g6753
ECA1243	g7794
ECA1243	g17930
ECA1243	g1175
ECA1243	g3285
ECA1243	g8662
ECA1243	g12459
ECA1243	g1178
ECA1243	g7304
ECA1243	g7791
ECA1243	g8194
ECA1243	g13697
ECA1243	g12800
ECA1243	g13707
ECA1243	g8782
ECA1243	g7796
ECA1228	g5077
ECA1228	g793
ECA1228	g3486
ECA1228	g18227
ECA1228	g11466
ECA1228	g1659
ECA1228	g17139
ECA1228	g6193
ECA1228	g783
ECA1228	g1826
ECA1228	g9472
ECA1228	g9433
ECA1228	g792
ECA1228	g4245
ECA1228	g531
ECA1228	g786
ECA1228	g301
ECA1228	g817
ECA1228	g6192
ECA1228	g18353
ECA1228	g7431
ECA1228	g784
ECA1228	g14767
ECA1228	g741
ECA1228	g6165
ECA1228	g3895
ECA1228	g16373
ECA1228	g2344
ECA1228	g9435
ECA1228	g791
ECA1228	g276
ECA1228	g297
ECA1228	g1792
ECA1228	g790
ECA1228	g9432
ECA1228	g789
ECA1228	g9436
ECA1228	g278
ECA1228	g22378
ECA1228	g1180
ECA1228	g6474
ECA1228	g788
ECA1228	g3928
ECA1228	g3927
ECA1228	g17610
ECA1228	g781
ECA1228	g1660
ECA1228	g16590
ECA1228	g8490
ECA1228	g815
ECA1228	g9437
ECA1228	g4296
ECA1228	g19730
ECA1228	g18354
ECA1228	g10551
ECA1228	g9438
ECA1228	g2782
ECA1228	g9440
ECA1228	g299
ECA1228	g2186
ECA1228	g6009
ECA1228	g814
ECA1228	g11467
ECA1228	g7512
ECA1228	g4241
ECA1228	g9441
ECA1228	g19728
ECA1228	g10826
ECA1228	g22190
ECA1228	g811
ECA1228	g19724
ECA1228	g782
ECA1228	g283
ECA1228	g6196
ECA1228	g5086
ECA1228	g9434
ECA1228	g16374
ECA1228	g298
ECA1228	g296
ECA1228	g6195
ECA1228	g282
ECA1228	g646
ECA1228	g813
ECA1228	g818
ECA1228	g19729
ECA1228	g6190
ECA1228	g785
ECA1228	g9439
ECA1228	g300
ECA1228	g19252
ECA1228	g18226
ECA1228	g18343
ECA1228	g4342
ECA1260	g19570
ECA1260	g41
ECA1260	g3495
ECA1260	g19544
ECA1260	g19575
ECA1260	g19566
ECA1260	g17609
ECA1260	g11437
ECA1260	g20095
ECA1260	g3105
ECA1260	g6783
ECA1260	g20071
ECA1260	g20072
ECA1260	g12312
ECA1260	g2589
ECA1260	g19571
ECA1260	g16740
ECA1260	g11308
ECA1260	g16656
ECA1260	g2147
ECA1260	g20395
ECA1260	g4943
ECA1260	g6815
ECA1260	g11438
ECA1260	g3141
ECA1260	g19538
ECA1260	g6822
ECA1260	g6819
ECA1260	g19578
ECA1260	g16703
ECA1260	g6821
ECA1260	g19548
ECA1260	g20073
ECA1260	g6818
ECA1260	g20070
ECA1260	g20069
ECA1260	g6817
ECA1260	g16317
ECA1260	g16316
ECA1260	g20090
ECA1260	g20396
ECA1260	g6820
ECA1260	g19568
ECA1260	g20074
ECA1260	g19839
ECA1260	g16283
ECA1260	g20397
ECA1260	g19576
ECA1260	g17434
ECA1260	g21716
ECA1260	g19574
ECA1260	g3271
ECA1260	g18305
ECA1260	g11307
ECA1260	g5409
ECA1260	g20076
ECA1260	g17607
ECA1260	g20091
ECA1260	g2750
ECA1260	g20068
ECA1260	g4016
ECA1260	g6814
ECA1260	g13422
ECA1260	g20097
ECA1260	g19618
ECA1260	g18467
ECA1260	g17582
ECA1260	g19545
ECA1260	g16016
ECA1260	g1441
ECA1260	g18644
ECA1260	g17612
ECA1260	g12321
ECA1260	g13342
ECA1260	g19577
ECA1260	g20067
ECA1260	g5685
ECA1260	g19546
ECA1260	g10446
ECA1260	g18306
ECA1260	g6816
ECA1260	g19569
ECA1260	g20401
ECA1260	g17611
ECA1260	g3272
ECA1260	g254
ECA1260	g6813
ECA1260	g20075
ECA1260	g19572
ECA1260	g9654
ECA1260	g11318
ECA1260	g19567
ECA1260	g3494
ECA3088	g4789
ECA3088	g6401
ECA3088	g6531
ECA3088	g411
ECA3088	g19823
ECA3088	g5305
ECA3088	g22836
ECA3088	g5288
ECA3088	g401
ECA3088	g10537
ECA3088	g10534
ECA3088	g18646
ECA3088	g18643
ECA3088	g5327
ECA3088	g7444
ECA3088	g5332
ECA3088	g22625
ECA3088	g5306
ECA3088	g3705
ECA3088	g4785
ECA3088	g14940
ECA3088	g4786
ECA3088	g10541
ECA3088	g19824
ECA3088	g21896
ECA3088	g10574
ECA3088	g8201
ECA3088	g18935
ECA3088	g5302
ECA3088	g5312
ECA3088	g3361
ECA3088	g3203
ECA3088	g1188
ECA3088	g4775
ECA3088	g7573
ECA3088	g4779
ECA3088	g10536
ECA3088	g3872
ECA3088	g4781
ECA3088	g21900
ECA3088	g18642
ECA3088	g18647
ECA3088	g10535
ECA3088	g1280
ECA3088	g3873
ECA3088	g5310
ECA3088	g10538
ECA3088	g5041
ECA3088	g2762
ECA3088	g4782
ECA3088	g18933
ECA3088	g4776
ECA3088	g1618
ECA3088	g7445
ECA3088	g17655
ECA3088	g7572
ECA3088	g5309
ECA3088	g1645
ECA3088	g11945
ECA3088	g10542
ECA3088	g9571
ECA3088	g2068
ECA3088	g1238
ECA3088	g4784
ECA3088	g17574
ECA3088	g5303
ECA3088	g10539
ECA3088	g10543
ECA3088	g4774
ECA3088	g4778
ECA3088	g4772
ECA3088	g5328
ECA3088	g5311
ECA3088	g1617
ECA3088	g21901
ECA3088	g18932
ECA3088	g11668
ECA3088	g18937
ECA3088	g5304
ECA3088	g5307
ECA3088	g22804
ECA3088	g4783
ECA3088	g10540
ECA3088	g4832
ECA3088	g4355
ECA3088	g21902
ECA3088	g19120
ECA3088	g6182
ECA3088	g7455
ECA3088	g18963
ECA3088	g4773
ECA3088	g3740
ECA3088	g22600
ECA1186	g1046
ECA1186	g6707
ECA1186	g8450
ECA1186	g546
ECA1186	g4468
ECA1186	g1069
ECA1186	g1050
ECA1186	g8163
ECA1186	g542
ECA1186	g2088
ECA1186	g11627
ECA1186	g565
ECA1186	g19689
ECA1186	g1072
ECA1186	g2599
ECA1186	g1041
ECA1186	g16829
ECA1186	g1045
ECA1186	g7983
ECA1186	g6924
ECA1186	g20699
ECA1186	g20630
ECA1186	g3039
ECA1186	g21061
ECA1186	g1924
ECA1186	g14463
ECA1186	g11658
ECA1186	g5561
ECA1186	g998
ECA1186	g1078
ECA1186	g1039
ECA1186	g11664
ECA1186	g568
ECA1186	g11661
ECA1186	g540
ECA1186	g1038
ECA1186	g20672
ECA1186	g11663
ECA1186	g1067
ECA1186	g564
ECA1186	g11660
ECA1186	g567
ECA1186	g5560
ECA1186	g20300
ECA1186	g20299
ECA1186	g547
ECA1186	g21062
ECA1186	g1048
ECA1186	g11662
ECA1186	g4933
ECA1186	g563
ECA1186	g798
ECA1186	g20267
ECA1186	g21063
ECA1186	g1040
ECA1186	g1042
ECA1186	g1925
ECA1186	g186
ECA1186	g5688
ECA1186	g10258
ECA1186	g6580
ECA1186	g10530
ECA1186	g561
ECA1186	g8161
ECA1186	g2438
ECA1186	g11657
ECA1186	g17579
ECA1186	g11656
ECA1186	g19698
ECA1186	g6
ECA1186	g8137
ECA1186	g1070
ECA1186	g3760
ECA1186	g1071
ECA1186	g8449
ECA1186	g12611
ECA1186	g8166
ECA1186	g16828
ECA1186	g17499
ECA1186	g569
ECA1186	g566
ECA1186	g1047
ECA1186	g21067
ECA1186	g11659
ECA1186	g8165
ECA1186	g562
ECA1186	g1044
ECA1186	g1449
ECA1186	g5687
ECA1186	g5678
ECA1186	g2053
ECA1186	g1049
ECA1943	g1103
ECA1943	g20294
ECA1943	g12996
ECA1943	g14561
ECA1943	g1610
ECA1943	g19197
ECA1943	g1080
ECA1943	g1099
ECA1943	g4668
ECA1943	g15884
ECA1943	g1614
ECA1943	g55
ECA1943	g3275
ECA1943	g1591
ECA1943	g3313
ECA1943	g6234
ECA1943	g1077
ECA1943	g17326
ECA1943	g1108
ECA1943	g15885
ECA1943	g1104
ECA1943	g12780
ECA1943	g21835
ECA1943	g21918
ECA1943	g17769
ECA1943	g20295
ECA1943	g3305
ECA1943	g7011
ECA1943	g3307
ECA1943	g91
ECA1943	g1152
ECA1943	g1071
ECA1943	g1110
ECA1943	g3308
ECA1943	g1588
ECA1943	g5504
ECA1943	g3310
ECA1943	g1616
ECA1943	g3312
ECA1943	g1111
ECA1943	g21873
ECA1943	g1082
ECA1943	g1592
ECA1943	g1590
ECA1943	g1589
ECA1943	g4847
ECA1943	g22254
ECA1943	g22255
ECA1943	g1609
ECA1943	g1101
ECA1943	g3311
ECA1943	g19667
ECA1943	g1593
ECA1943	g1352
ECA1943	g22287
ECA1943	g20293
ECA1943	g1109
ECA1943	g3309
ECA1943	g1107
ECA1943	g215
ECA1943	g11067
ECA1943	g14019
ECA1943	g1890
ECA1943	g13127
ECA1943	g2178
ECA1943	g1595
ECA1943	g3306
ECA1943	g4670
ECA1943	g17165
ECA1943	g20289
ECA1943	g14924
ECA1943	g4696
ECA1943	g1079
ECA1943	g18481
ECA1943	g5684
ECA1943	g1078
ECA1943	g14562
ECA1943	g4268
ECA1943	g4665
ECA1943	g6243
ECA1943	g14844
ECA1943	g1587
ECA1943	g694
ECA1943	g11066
ECA1943	g1102
ECA1943	g4666
ECA1943	g216
ECA1943	g1594
ECA1943	g1105
ECA1943	g14020
ECA1943	g14030
ECA1943	g1100
ECA2377	g4436
ECA2377	g21315
ECA2377	g15094
ECA2377	g20424
ECA2377	g4942
ECA2377	g13588
ECA2377	g17342
ECA2377	g4411
ECA2377	g4441
ECA2377	g4432
ECA2377	g16251
ECA2377	g4946
ECA2377	g3396
ECA2377	g12487
ECA2377	g4923
ECA2377	g12449
ECA2377	g4924
ECA2377	g19542
ECA2377	g2882
ECA2377	g4922
ECA2377	g16252
ECA2377	g4437
ECA2377	g882
ECA2377	g964
ECA2377	g2444
ECA2377	g12457
ECA2377	g7992
ECA2377	g12455
ECA2377	g3432
ECA2377	g16130
ECA2377	g4405
ECA2377	g4443
ECA2377	g12454
ECA2377	g5295
ECA2377	g12452
ECA2377	g4948
ECA2377	g12450
ECA2377	g4444
ECA2377	g917
ECA2377	g4415
ECA2377	g4925
ECA2377	g4921
ECA2377	g1292
ECA2377	g1293
ECA2377	g4941
ECA2377	g4434
ECA2377	g12451
ECA2377	g4926
ECA2377	g4685
ECA2377	g1325
ECA2377	g15224
ECA2377	g21316
ECA2377	g4442
ECA2377	g12453
ECA2377	g4440
ECA2377	g3557
ECA2377	g16119
ECA2377	g16118
ECA2377	g13866
ECA2377	g6023
ECA2377	g12456
ECA2377	g6201
ECA2377	g16129
ECA2377	g3042
ECA2377	g11120
ECA2377	g4920
ECA2377	g16873
ECA2377	g18895
ECA2377	g19551
ECA2377	g6203
ECA2377	g4484
ECA2377	g4927
ECA2377	g1740
ECA2377	g5475
ECA2377	g20425
ECA2377	g11490
ECA2377	g6206
ECA2377	g18975
ECA2377	g4919
ECA2377	g4413
ECA2377	g4035
ECA2377	g11121
ECA2377	g4412
ECA2377	g4435
ECA2377	g21320
ECA2377	g6205
ECA2377	g3558
ECA2377	g14894
ECA2377	g4438
ECA2377	g21314
ECA2377	g6176
ECA2377	g4433
ECA594	g2800
ECA594	g15011
ECA594	g22279
ECA594	g5952
ECA594	g10870
ECA594	g5087
ECA594	g6443
ECA594	g13658
ECA594	g2828
ECA594	g6423
ECA594	g5956
ECA594	g15899
ECA594	g12578
ECA594	g15901
ECA594	g4923
ECA594	g6425
ECA594	g18633
ECA594	g4401
ECA594	g6422
ECA594	g12579
ECA594	g6442
ECA594	g3960
ECA594	g15010
ECA594	g20603
ECA594	g10869
ECA594	g5961
ECA594	g6774
ECA594	g1926
ECA594	g5932
ECA594	g6002
ECA594	g10876
ECA594	g5934
ECA594	g10873
ECA594	g6449
ECA594	g10874
ECA594	g10875
ECA594	g16182
ECA594	g6426
ECA594	g10872
ECA594	g6421
ECA594	g5959
ECA594	g6447
ECA594	g13197
ECA594	g6427
ECA594	g6198
ECA594	g15012
ECA594	g5957
ECA594	g7339
ECA594	g5962
ECA594	g12450
ECA594	g5954
ECA594	g6424
ECA594	g5086
ECA594	g2416
ECA594	g12449
ECA594	g9469
ECA594	g6429
ECA594	g2802
ECA594	g10868
ECA594	g15897
ECA594	g2829
ECA594	g4564
ECA594	g9741
ECA594	g3251
ECA594	g5922
ECA594	g17242
ECA594	g2456
ECA594	g5963
ECA594	g10871
ECA594	g10867
ECA594	g18642
ECA594	g5955
ECA594	g2379
ECA594	g5960
ECA594	g15872
ECA594	g10837
ECA594	g6428
ECA594	g15902
ECA594	g1925
ECA594	g17162
ECA594	g2801
ECA594	g5927
ECA594	g15716
ECA594	g15016
ECA594	g22495
ECA594	g6951
ECA594	g5568
ECA594	g6420
ECA594	g11552
ECA594	g12460
ECA594	g4959
ECA594	g5953
ECA706	g7299
ECA706	g10442
ECA706	g20831
ECA706	g17765
ECA706	g13903
ECA706	g6805
ECA706	g8175
ECA706	g20019
ECA706	g7323
ECA706	g7294
ECA706	g221
ECA706	g7303
ECA706	g13621
ECA706	g18926
ECA706	g13623
ECA706	g1222
ECA706	g10850
ECA706	g1184
ECA706	g6822
ECA706	g16357
ECA706	g7326
ECA706	g8851
ECA706	g8338
ECA706	g10441
ECA706	g6453
ECA706	g14881
ECA706	g11336
ECA706	g18927
ECA706	g7298
ECA706	g6806
ECA706	g6824
ECA706	g20832
ECA706	g4615
ECA706	g1190
ECA706	g7324
ECA706	g6801
ECA706	g7252
ECA706	g7332
ECA706	g7292
ECA706	g10415
ECA706	g10767
ECA706	g1187
ECA706	g6799
ECA706	g6823
ECA706	g7291
ECA706	g1185
ECA706	g7321
ECA706	g6821
ECA706	g6825
ECA706	g13444
ECA706	g1186
ECA706	g7301
ECA706	g19548
ECA706	g6820
ECA706	g7058
ECA706	g20830
ECA706	g10004
ECA706	g7293
ECA706	g7295
ECA706	g8176
ECA706	g10814
ECA706	g2583
ECA706	g2306
ECA706	g1188
ECA706	g1191
ECA706	g13619
ECA706	g8690
ECA706	g14962
ECA706	g10771
ECA706	g6273
ECA706	g6819
ECA706	g9297
ECA706	g7325
ECA706	g13902
ECA706	g13624
ECA706	g16348
ECA706	g11337
ECA706	g6826
ECA706	g1189
ECA706	g21829
ECA706	g1192
ECA706	g18798
ECA706	g7300
ECA706	g20826
ECA706	g7297
ECA706	g7701
ECA706	g18799
ECA706	g17895
ECA706	g18809
ECA706	g13595
ECA706	g8304
ECA706	g7302
MY23	g17394
MY23	g14688
MY23	g12379
MY23	g13858
MY23	g14668
MY23	g10336
MY23	g751
MY23	g14290
MY23	g14971
MY23	g17420
MY23	g14269
MY23	g14664
MY23	g2186
MY23	g6298
MY23	g2188
MY23	g917
MY23	g14271
MY23	g18408
MY23	g1446
MY23	g14268
MY23	g6299
MY23	g14288
MY23	g9281
MY23	g12378
MY23	g4648
MY23	g10337
MY23	g14659
MY23	g19827
MY23	g14618
MY23	g10330
MY23	g17395
MY23	g14686
MY23	g21036
MY23	g10333
MY23	g14296
MY23	g10332
MY23	g3367
MY23	g10331
MY23	g14272
MY23	g10334
MY23	g14267
MY23	g14661
MY23	g14294
MY23	g17660
MY23	g14273
MY23	g14042
MY23	g12380
MY23	g14663
MY23	g21976
MY23	g14658
MY23	g20558
MY23	g14666
MY23	g14270
MY23	g752
MY23	g17022
MY23	g20559
MY23	g16819
MY23	g3366
MY23	g14275
MY23	g10338
MY23	g2184
MY23	g1280
MY23	g11078
MY23	g8575
MY23	g14700
MY23	g3673
MY23	g17062
MY23	g14657
MY23	g10335
MY23	g10339
MY23	g14665
MY23	g16984
MY23	g14660
MY23	g21957
MY23	g2159
MY23	g10369
MY23	g14274
MY23	g2189
MY23	g18399
MY23	g19826
MY23	g3754
MY23	g17421
MY23	g14694
MY23	g2004
MY23	g12384
MY23	g20616
MY23	g276
MY23	g14266
MY23	g11937
MY23	g20548
MY23	g881
MY23	g14667
ECA1255	g4309
ECA1255	g2499
ECA1255	g5065
ECA1255	g20532
ECA1255	g2479
ECA1255	g12165
ECA1255	g1963
ECA1255	g20946
ECA1255	g1983
ECA1255	g2475
ECA1255	g697
ECA1255	g13406
ECA1255	g695
ECA1255	g7689
ECA1255	g12132
ECA1255	g1981
ECA1255	g4280
ECA1255	g2735
ECA1255	g1984
ECA1255	g13407
ECA1255	g1964
ECA1255	g7851
ECA1255	g1978
ECA1255	g9985
ECA1255	g3173
ECA1255	g8413
ECA1255	g12164
ECA1255	g7852
ECA1255	g14065
ECA1255	g2429
ECA1255	g12171
ECA1255	g2497
ECA1255	g7179
ECA1255	g1607
ECA1255	g12168
ECA1255	g1957
ECA1255	g12169
ECA1255	g12166
ECA1255	g7178
ECA1255	g12170
ECA1255	g1980
ECA1255	g12167
ECA1255	g1985
ECA1255	g2472
ECA1255	g1959
ECA1255	g12163
ECA1255	g19167
ECA1255	g1979
ECA1255	g2216
ECA1255	g4307
ECA1255	g5066
ECA1255	g2474
ECA1255	g2469
ECA1255	g13279
ECA1255	g2477
ECA1255	g1982
ECA1255	g4681
ECA1255	g13278
ECA1255	g10752
ECA1255	g11031
ECA1255	g4281
ECA1255	g699
ECA1255	g7343
ECA1255	g2470
ECA1255	g2505
ECA1255	g6127
ECA1255	g4641
ECA1255	g2468
ECA1255	g12162
ECA1255	g873
ECA1255	g20741
ECA1255	g2476
ECA1255	g4717
ECA1255	g2471
ECA1255	g1426
ECA1255	g724
ECA1255	g3880
ECA1255	g694
ECA1255	g16737
ECA1255	g14066
ECA1255	g6207
ECA1255	g4308
ECA1255	g5070
ECA1255	g5064
ECA1255	g235
ECA1255	g1986
ECA1255	g16746
ECA1255	g13187
ECA1255	g13289
ECA1255	g7724
ECA1255	g2478
ECA2111	g2423
ECA2111	g2451
ECA2111	g12234
ECA2111	g10649
ECA2111	g11173
ECA2111	g20618
ECA2111	g11153
ECA2111	g10653
ECA2111	g3474
ECA2111	g19531
ECA2111	g15792
ECA2111	g3472
ECA2111	g2803
ECA2111	g344
ECA2111	g848
ECA2111	g2450
ECA2111	g11152
ECA2111	g19532
ECA2111	g11171
ECA2111	g184
ECA2111	g19403
ECA2111	g7613
ECA2111	g1293
ECA2111	g12235
ECA2111	g5560
ECA2111	g15785
ECA2111	g183
ECA2111	g16488
ECA2111	g10629
ECA2111	g10699
ECA2111	g10631
ECA2111	g9519
ECA2111	g2422
ECA2111	g11179
ECA2111	g8461
ECA2111	g15791
ECA2111	g11155
ECA2111	g11151
ECA2111	g10656
ECA2111	g11177
ECA2111	g11538
ECA2111	g15788
ECA2111	g15790
ECA2111	g20155
ECA2111	g11156
ECA2111	g10921
ECA2111	g14654
ECA2111	g12233
ECA2111	g10654
ECA2111	g10659
ECA2111	g15787
ECA2111	g10651
ECA2111	g2846
ECA2111	g11154
