strain	gene
MY16	g18493
MY16	g1380
MY16	g18796
MY16	g17963
MY16	g4683
MY16	g2867
MY16	g15152
MY16	g2406
MY16	g4685
MY16	g17469
MY16	g17075
MY16	g17216
MY16	g17942
MY16	g12527
MY16	g17962
MY16	g19310
MY16	g12029
MY16	g4658
MY16	g7227
MY16	g4295
MY16	g4590
MY16	g6525
MY16	g18366
MY16	g4608
MY16	g4177
MY16	g4180
MY16	g4178
MY16	g2865
MY16	g4650
MY16	g12217
MY16	g12212
MY16	g412
MY16	g18316
MY16	g18467
MY16	g4610
MY16	g18667
MY16	g18813
MY16	g5243
MY16	g4680
MY16	g15144
MY16	g12325
MY16	g11308
MY16	g4687
MY16	g5246
MY16	g16500
MY16	g18797
MY16	g4645
MY16	g11230
MY16	g17303
MY16	g15156
MY16	g15158
MY16	g795
MY16	g7204
MY16	g4179
MY16	g15142
MY16	g18785
MY16	g18919
MY16	g5901
MY16	g5902
MY16	g4686
MY16	g10689
MY16	g15154
MY16	g3398
MY16	g21446
MY16	g17875
MY16	g15712
MY16	g2900
MY16	g2723
MY16	g2784
MY16	g12386
MY16	g15134
MY16	g4651
MY16	g20672
MY16	g4659
MY16	g17500
MY16	g3078
MY16	g18421
MY16	g13081
MY16	g12218
MY16	g18675
MY16	g17876
MY16	g9353
MY16	g2826
MY16	g15148
MY16	g18657
MY16	g15339
MY16	g3117
MY16	g12528
MY16	g11306
MY16	g3958
MY16	g4681
MY16	g6161
MY16	g1496
MY16	g4679
MY16	g3212
MY16	g6389
MY16	g4690
MY16	g17943
MY16	g4794
MY16	g14980
MY16	g14983
MY16	g1964
MY16	g21443
MY16	g13010
MY16	g20890
MY16	g11021
MY16	g11711
MY16	g15159
MY16	g2770
MY16	g4866
MY16	g15137
MY16	g2666
MY16	g11205
MY16	g15346
MY16	g10723
MY16	g7483
MY16	g14701
MY16	g2405
MY16	g3114
MY16	g4689
MY16	g14431
MY16	g15340
MY16	g7485
MY16	g15345
MY16	g12240
MY16	g3273
MY16	g5242
MY16	g6526
MY16	g2907
MY16	g12290
MY16	g2496
MY16	g14918
MY16	g22045
MY16	g15136
MY16	g21366
MY16	g4684
MY16	g4141
MY16	g17479
MY16	g17499
MY16	g14920
MY16	g2035
MY16	g11919
MY16	g18670
MY16	g15155
MY16	g13691
MY16	g488
MY16	g17878
MY16	g4647
MY16	g2033
MY16	g11027
MY16	g15153
MY16	g11307
MY16	g4657
MY16	g12108
MY16	g18485
MY16	g4652
MY16	g14921
MY16	g2769
MY16	g13692
MY16	g2768
MY16	g5320
MY16	g11025
MY16	g2409
MY16	g16591
MY16	g12319
MY16	g12526
MY16	g15164
MY16	g4175
MY16	g12215
MY16	g18693
MY16	g996
MY16	g17877
MY16	g5514
MY16	g11269
MY16	g8378
MY16	g18659
MY16	g18660
MY16	g2710
MY16	g2228
MY16	g13332
MY16	g15131
MY16	g7815
MY16	g17250
MY16	g16348
MY16	g5515
MY16	g9616
MY16	g11804
MY16	g11718
MY16	g11144
MY16	g14862
MY16	g3959
MY16	g6391
MY16	g4688
MY16	g15341
MY16	g15344
MY16	g4655
MY16	g12984
MY16	g4589
MY16	g8649
MY16	g15160
MY16	g18674
MY16	g18794
MY16	g2825
MY16	g18658
MY16	g5516
MY16	g15147
MY16	g14924
MY16	g4697
MY16	g17498
MY16	g4450
MY16	g14905
MY16	g1497
MY16	g11209
MY16	g4646
MY16	g4182
MY16	g5517
MY16	g2422
MY16	g11029
MY16	g4703
MY16	g21444
MY16	g15145
MY16	g16357
MY16	g10722
MY16	g16359
MY16	g5247
MY16	g2407
MY16	g18465
MY16	g11024
MY16	g579
MY16	g17251
MY16	g4644
MY16	g2408
MY16	g19048
MY16	g4653
MY16	g8548
MY16	g20243
MY16	g7489
MY16	g15330
MY16	g14919
MY16	g5685
MY16	g4649
MY16	g15331
MY16	g273
MY16	g4648
MY16	g1986
MY16	g4289
MY16	g2388
MY16	g4798
MY16	g3957
MY16	g2034
MY16	g5518
MY16	g2729
MY16	g11716
MY16	g12213
MY16	g2871
MY16	g21365
MY16	g15133
MY16	g19545
MY16	g4656
MY16	g18795
MY16	g21678
MY16	g18225
MY16	g4500
MY16	g15157
MY16	g9557
MY16	g4660
MY16	g12216
ECA1757	g16671
ECA1757	g17377
ECA1757	g17165
ECA1757	g18580
ECA1757	g2781
ECA1757	g22194
ECA1757	g17338
ECA1757	g17378
ECA1757	g5421
ECA1757	g14327
ECA1757	g5909
ECA1757	g6427
ECA1757	g4606
ECA1757	g14561
ECA1757	g17128
ECA1757	g17339
ECA1757	g19199
ECA1757	g18613
ECA1757	g4679
ECA1757	g10669
ECA1757	g5937
ECA1757	g21742
ECA1757	g374
ECA1757	g17168
ECA1757	g16987
ECA1757	g21443
ECA1757	g10462
ECA1757	g21805
ECA1757	g21808
ECA1757	g5410
ECA1757	g8588
ECA1757	g14556
ECA1757	g16438
ECA1757	g17086
ECA1757	g10674
ECA1757	g16485
ECA1757	g21643
ECA1757	g5898
ECA1757	g16088
ECA1757	g380
ECA1757	g16975
ECA1757	g9973
ECA1757	g6223
ECA1757	g17019
ECA1757	g5757
ECA1757	g16670
ECA1757	g16989
ECA1757	g17303
ECA1757	g14970
ECA1757	g16669
ECA1757	g4767
ECA1757	g7730
ECA1757	g14315
ECA1757	g21743
ECA1757	g14565
ECA1757	g18612
ECA1757	g10396
ECA1757	g21739
ECA1757	g10671
ECA1757	g21642
ECA1757	g10108
ECA1757	g10654
ECA1757	g5411
ECA1757	g5646
ECA1757	g17801
ECA1757	g17159
ECA1757	g6944
ECA1757	g16130
ECA1757	g8479
ECA1757	g21262
ECA1757	g21285
ECA1757	g13555
ECA1757	g3085
ECA1757	g1924
ECA1757	g17802
ECA1757	g1909
ECA1757	g3938
ECA1757	g1863
ECA1757	g14546
ECA1757	g18114
ECA1757	g14547
ECA1757	g12252
ECA1757	g11182
ECA1757	g21657
ECA1757	g5938
ECA1757	g17304
ECA1757	g5940
ECA1757	g14391
ECA1757	g11161
ECA1757	g9969
ECA1757	g14085
ECA1757	g16988
ECA1757	g21810
ECA1757	g9966
ECA1757	g11181
ECA1757	g9215
ECA1757	g9658
ECA1757	g5914
ECA1757	g5913
ECA1757	g8693
ECA1757	g8482
ECA1757	g5846
ECA1757	g7781
ECA1757	g14082
ECA1757	g5865
ECA1757	g17129
ECA1757	g5905
ECA1757	g14562
ECA1757	g18111
ECA1757	g21327
ECA1757	g18116
ECA1757	g4605
ECA1757	g5867
ECA1757	g8711
ECA1757	g6490
ECA1757	g5935
ECA1757	g5422
ECA1757	g18006
ECA1757	g5942
ECA1757	g19201
ECA1757	g6493
ECA1757	g20457
ECA1757	g8695
ECA1757	g5900
ECA1757	g10461
ECA1757	g5595
ECA1757	g9762
ECA1757	g13734
ECA1757	g21433
ECA1757	g4969
ECA1757	g8459
ECA1757	g8683
ECA1757	g8819
ECA1757	g21658
ECA1757	g21659
ECA1757	g14557
ECA1757	g7161
ECA1757	g13983
ECA1757	g7162
ECA1757	g21740
ECA1757	g20012
ECA1757	g10672
ECA1757	g11094
ECA1757	g17034
ECA1757	g17031
ECA1757	g3853
ECA1757	g6012
ECA1757	g17047
ECA1757	g17945
ECA1757	g14544
ECA1757	g5906
ECA1757	g10386
ECA1757	g19119
ECA1757	g17800
ECA1757	g14333
ECA1757	g18110
ECA1757	g4458
ECA1757	g21640
ECA1757	g17133
ECA1757	g11095
ECA1757	g10673
ECA1757	g15915
ECA1757	g4444
ECA1757	g14550
ECA1757	g4654
ECA1757	g12327
ECA1757	g14316
ECA1757	g5936
ECA1757	g5396
ECA1757	g14552
ECA1757	g7416
ECA1757	g5934
ECA1757	g20201
ECA1757	g4463
ECA1757	g14080
ECA1757	g19198
ECA1757	g5945
ECA1757	g14548
ECA1757	g11162
ECA1757	g6045
ECA1757	g10483
ECA1757	g16974
ECA1757	g14543
ECA1757	g15010
ECA1757	g21741
ECA1757	g9968
ECA1757	g17162
ECA1757	g9867
ECA1757	g17033
ECA1757	g17032
ECA1757	g9770
ECA1757	g6117
ECA1757	g4452
ECA1757	g22102
ECA1757	g14554
ECA1757	g21803
ECA1757	g10384
ECA1757	g10668
ECA1757	g17379
ECA1757	g16668
ECA1757	g377
ECA1757	g1702
ECA1757	g16667
ECA1757	g17374
ECA1757	g5944
ECA1757	g1434
ECA1757	g21809
ECA1757	g21804
ECA1757	g375
ECA1757	g18088
ECA1757	g20140
ECA1757	g6489
ECA1757	g10487
ECA1757	g7782
ECA1757	g18043
ECA1757	g19120
ECA1757	g21430
ECA1757	g5939
ECA1757	g10484
ECA1757	g21651
ECA1757	g14127
ECA1757	g14123
ECA1757	g5412
ECA1757	g14330
ECA1757	g1921
ECA1757	g16665
ECA1757	g14564
ECA1757	g4678
ECA1757	g11097
ECA1757	g5902
ECA1757	g18007
ECA1757	g1923
ECA1757	g10385
ECA1757	g5912
ECA1757	g9580
ECA1757	g17021
ECA1757	g21444
ECA1757	g5907
ECA1757	g21394
ECA1757	g16923
ECA1757	g11652
ECA1757	g11096
ECA1757	g21653
ECA1757	g6570
ECA1757	g11098
ECA1757	g21432
ECA1757	g20548
ECA1757	g18012
ECA1757	g12353
ECA1757	g5392
ECA1757	g14326
ECA1757	g17169
ECA1757	g8592
ECA1757	g6769
ECA1757	g17943
ECA1757	g10655
ECA1757	g12621
ECA1757	g10670
ECA1757	g12010
ECA1757	g14541
ECA1757	g44
ECA1757	g5647
ECA1757	g21645
ECA1757	g10545
ECA1757	g20308
ECA1757	g16755
ECA1757	g6770
ECA1757	g13977
ECA1757	g16184
ECA1757	g21431
ECA1757	g18496
ECA1757	g17089
ECA1757	g7646
ECA1757	g5943
ECA1757	g5910
ECA1757	g1992
ECA1757	g5845
ECA1757	g18113
ECA1757	g10422
ECA1757	g14567
ECA1757	g8692
ECA1757	g17088
ECA1757	g14328
ECA1757	g16993
ECA1757	g6771
ECA1757	g7645
ECA1757	g21174
ECA1757	g9967
ECA1757	g5952
ECA1757	g5395
ECA1757	g17803
ECA1757	g16650
ECA1757	g5705
ECA1757	g14325
ECA1757	g1908
ECA1757	g7783
ECA1757	g18115
ECA1757	g5901
ECA1757	g6772
ECA1757	g14086
ECA1757	g5958
ECA1757	g10676
ECA1757	g14571
ECA1757	g21644
ECA1757	g20315
ECA1757	g21334
ECA1757	g20317
ECA1757	g6494
ECA1757	g11653
ECA1757	g14563
ECA1757	g21656
ECA1757	g5899
ECA1757	g8949
ECA1757	g5908
ECA1757	g22001
ECA1757	g371
ECA1757	g21649
ECA1757	g14566
ECA1757	g11110
ECA1757	g2232
ECA1757	g21819
ECA1757	g8593
ECA1757	g5904
ECA1757	g14555
ECA1757	g14084
ECA1757	g9761
ECA1757	g21818
ECA1757	g16664
ECA1757	g5903
ECA1757	g1970
ECA1757	g6049
ECA1757	g14088
ECA1757	g14317
ECA1757	g1922
ECA1757	g6773
ECA1757	g8694
ECA1757	g9448
ECA1757	g5911
ECA1757	g19435
ECA1757	g21197
ECA1757	g5756
ECA1757	g13554
ECA1757	g16124
ECA1757	g10667
ECA1757	g5915
ECA1757	g14553
ECA1757	g18112
ECA1757	g18170
ECA1757	g5941
XZ1516	g18462
XZ1516	g12599
XZ1516	g15852
XZ1516	g6281
XZ1516	g3829
XZ1516	g15954
XZ1516	g17879
XZ1516	g13657
XZ1516	g19018
XZ1516	g18436
XZ1516	g17877
XZ1516	g12179
XZ1516	g15957
XZ1516	g18016
XZ1516	g18018
XZ1516	g8527
XZ1516	g18470
XZ1516	g21197
XZ1516	g19057
XZ1516	g18940
XZ1516	g18437
XZ1516	g17865
XZ1516	g18456
XZ1516	g21200
XZ1516	g15960
XZ1516	g18525
XZ1516	g20987
XZ1516	g4741
XZ1516	g13526
XZ1516	g9098
XZ1516	g13317
XZ1516	g8509
XZ1516	g19489
XZ1516	g8512
XZ1516	g8226
XZ1516	g14964
XZ1516	g9184
XZ1516	g15964
XZ1516	g21914
XZ1516	g22094
XZ1516	g9762
XZ1516	g4934
XZ1516	g3827
XZ1516	g22139
XZ1516	g14360
XZ1516	g4347
XZ1516	g8507
XZ1516	g7798
XZ1516	g3825
XZ1516	g18434
XZ1516	g4751
XZ1516	g6971
XZ1516	g17854
XZ1516	g17880
XZ1516	g18431
XZ1516	g4737
XZ1516	g18015
XZ1516	g17871
XZ1516	g22473
XZ1516	g703
XZ1516	g8508
XZ1516	g2931
XZ1516	g18020
XZ1516	g8700
XZ1516	g13314
XZ1516	g8932
XZ1516	g18147
XZ1516	g13524
XZ1516	g13548
XZ1516	g18352
XZ1516	g21127
XZ1516	g15953
XZ1516	g17860
XZ1516	g1274
XZ1516	g21190
XZ1516	g19953
XZ1516	g20270
XZ1516	g308
XZ1516	g19
XZ1516	g7000
XZ1516	g17146
XZ1516	g2425
XZ1516	g18676
XZ1516	g9683
XZ1516	g15963
XZ1516	g22269
XZ1516	g10666
XZ1516	g21350
XZ1516	g18942
XZ1516	g17872
XZ1516	g17864
XZ1516	g13546
XZ1516	g4538
XZ1516	g18
XZ1516	g20629
XZ1516	g15053
XZ1516	g18302
XZ1516	g4739
XZ1516	g18438
XZ1516	g303
XZ1516	g17884
XZ1516	g17266
XZ1516	g14610
XZ1516	g10577
XZ1516	g3140
XZ1516	g18468
XZ1516	g4866
XZ1516	g14966
XZ1516	g18817
XZ1516	g15031
XZ1516	g15959
XZ1516	g306
XZ1516	g15850
XZ1516	g20733
XZ1516	g16450
XZ1516	g2924
XZ1516	g13652
XZ1516	g22268
XZ1516	g8846
XZ1516	g6020
XZ1516	g18463
XZ1516	g8696
XZ1516	g1326
XZ1516	g8699
XZ1516	g18469
XZ1516	g13530
XZ1516	g21166
XZ1516	g18459
XZ1516	g22106
XZ1516	g17875
XZ1516	g10647
XZ1516	g13427
XZ1516	g4431
XZ1516	g19384
XZ1516	g17874
XZ1516	g4001
XZ1516	g21351
XZ1516	g16681
XZ1516	g15952
XZ1516	g21168
XZ1516	g19063
XZ1516	g14681
XZ1516	g1188
XZ1516	g19797
XZ1516	g4736
XZ1516	g15295
XZ1516	g13294
XZ1516	g12941
XZ1516	g7908
XZ1516	g21194
XZ1516	g8275
XZ1516	g17869
XZ1516	g14357
XZ1516	g6115
XZ1516	g702
XZ1516	g3828
XZ1516	g11336
XZ1516	g20734
XZ1516	g18472
XZ1516	g19144
XZ1516	g18430
XZ1516	g6775
XZ1516	g13426
XZ1516	g20731
XZ1516	g10358
XZ1516	g3826
XZ1516	g12935
XZ1516	g18945
XZ1516	g14612
XZ1516	g18475
XZ1516	g20732
XZ1516	g14599
XZ1516	g8228
XZ1516	g15537
XZ1516	g18422
XZ1516	g21170
XZ1516	g18457
XZ1516	g9364
XZ1516	g18419
XZ1516	g8930
XZ1516	g953
XZ1516	g19062
XZ1516	g18455
XZ1516	g20011
XZ1516	g14566
XZ1516	g4371
XZ1516	g21240
XZ1516	g18012
XZ1516	g22769
XZ1516	g20135
XZ1516	g22103
XZ1516	g4740
XZ1516	g21124
XZ1516	g17859
XZ1516	g14611
XZ1516	g8513
XZ1516	g14363
XZ1516	g18460
XZ1516	g14553
XZ1516	g14554
XZ1516	g7644
XZ1516	g9852
XZ1516	g14361
XZ1516	g8225
XZ1516	g9101
XZ1516	g18966
XZ1516	g484
XZ1516	g14979
XZ1516	g5775
XZ1516	g14965
XZ1516	g17881
XZ1516	g20730
XZ1516	g23
XZ1516	g18474
XZ1516	g12938
XZ1516	g21201
XZ1516	g17861
XZ1516	g18429
XZ1516	g14568
XZ1516	g14366
XZ1516	g8227
XZ1516	g20740
XZ1516	g17863
XZ1516	g13549
XZ1516	g20623
XZ1516	g8633
XZ1516	g12598
XZ1516	g4652
XZ1516	g9185
XZ1516	g19759
XZ1516	g18473
XZ1516	g20136
XZ1516	g18476
XZ1516	g18433
XZ1516	g305
XZ1516	g15851
XZ1516	g9100
XZ1516	g17267
XZ1516	g1327
XZ1516	g18471
XZ1516	g13527
XZ1516	g18432
XZ1516	g4735
XZ1516	g21820
XZ1516	g18941
XZ1516	g17628
XZ1516	g8511
XZ1516	g22145
XZ1516	g18943
XZ1516	g17886
XZ1516	g18011
XZ1516	g18944
XZ1516	g2865
XZ1516	g5415
XZ1516	g21165
XZ1516	g13531
XZ1516	g6972
XZ1516	g14963
XZ1516	g8510
XZ1516	g20775
XZ1516	g14659
XZ1516	g2301
XZ1516	g8890
XZ1516	g19757
XZ1516	g18017
XZ1516	g7049
XZ1516	g12942
XZ1516	g22105
XZ1516	g2489
XZ1516	g8514
XZ1516	g15955
XZ1516	g8845
XZ1516	g18466
XZ1516	g13514
XZ1516	g11303
XZ1516	g1189
XZ1516	g18458
XZ1516	g14598
XZ1516	g8297
XZ1516	g22
XZ1516	g18464
XZ1516	g1328
XZ1516	g13919
XZ1516	g17268
XZ1516	g21608
XZ1516	g20690
XZ1516	g2966
XZ1516	g15032
XZ1516	g4531
XZ1516	g9571
XZ1516	g9755
XZ1516	g18031
XZ1516	g12940
XZ1516	g14526
XZ1516	g15445
XZ1516	g22140
XZ1516	g13525
XZ1516	g4530
XZ1516	g11766
XZ1516	g18816
XZ1516	g21449
XZ1516	g7048
XZ1516	g22095
XZ1516	g10718
XZ1516	g17858
XZ1516	g6088
XZ1516	g15303
XZ1516	g13515
XZ1516	g15052
XZ1516	g21513
XZ1516	g18467
XZ1516	g18524
XZ1516	g13875
XZ1516	g18019
XZ1516	g20729
XZ1516	g17948
XZ1516	g13422
XZ1516	g8526
XZ1516	g18939
XZ1516	g12943
XZ1516	g21126
XZ1516	g22144
XZ1516	g21819
XZ1516	g18435
XZ1516	g18508
XZ1516	g18428
XZ1516	g14550
XZ1516	g18677
XZ1516	g11302
XZ1516	g17862
XZ1516	g17883
XZ1516	g98
XZ1516	g21913
XZ1516	g18505
XZ1516	g14551
XZ1516	g17873
XZ1516	g8931
XZ1516	g10722
XZ1516	g14593
XZ1516	g15305
XZ1516	g14564
XZ1516	g16196
XZ1516	g17269
XZ1516	g13122
XZ1516	g14552
XZ1516	g14680
XZ1516	g18815
XZ1516	g304
XZ1516	g4738
ECA1493	g4782
ECA1493	g18826
ECA1493	g4535
ECA1493	g11572
ECA1493	g4486
ECA1493	g15221
ECA1493	g14600
ECA1493	g13917
ECA1493	g2915
ECA1493	g4893
ECA1493	g123
ECA1493	g4780
ECA1493	g2917
ECA1493	g119
ECA1493	g22384
ECA1493	g17685
ECA1493	g19662
ECA1493	g2916
ECA1493	g478
ECA1493	g14602
ECA1493	g22376
ECA1493	g5582
ECA1493	g17690
ECA1493	g18775
ECA1493	g150
ECA1493	g16436
ECA1493	g21874
ECA1493	g109
ECA1493	g9187
ECA1493	g17013
ECA1493	g17455
ECA1493	g19296
ECA1493	g22373
ECA1493	g19029
ECA1493	g14400
ECA1493	g2937
ECA1493	g9139
ECA1493	g17136
ECA1493	g14606
ECA1493	g17016
ECA1493	g17682
ECA1493	g16430
ECA1493	g21802
ECA1493	g14421
ECA1493	g2703
ECA1493	g14604
ECA1493	g14482
ECA1493	g9754
ECA1493	g22156
ECA1493	g7668
ECA1493	g9369
ECA1493	g18516
ECA1493	g110
ECA1493	g19630
ECA1493	g19629
ECA1493	g14601
ECA1493	g22388
ECA1493	g22158
ECA1493	g3046
ECA1493	g19035
ECA1493	g4781
ECA1493	g9352
ECA1493	g741
ECA1493	g4534
ECA1493	g5125
ECA1493	g9753
ECA1493	g2919
ECA1493	g16773
ECA1493	g6596
ECA1493	g16950
ECA1493	g2683
ECA1493	g17456
ECA1493	g18787
ECA1493	g17137
ECA1493	g12419
ECA1493	g8825
ECA1493	g4982
ECA1493	g154
ECA1493	g21887
ECA1493	g8831
ECA1493	g13718
ECA1493	g9363
ECA1493	g740
ECA1493	g9690
ECA1493	g21801
ECA1493	g19039
ECA1493	g19020
ECA1493	g9688
ECA1493	g1019
ECA1493	g155
ECA1493	g1024
ECA1493	g5122
ECA1493	g17686
ECA1493	g19022
ECA1493	g19478
ECA1493	g9735
ECA1493	g18825
ECA1493	g16435
ECA1493	g22380
ECA1493	g14882
ECA1493	g14812
ECA1493	g7639
ECA1493	g9371
ECA1493	g22372
ECA1493	g9707
ECA1493	g19144
ECA1493	g744
ECA1493	g3448
ECA1493	g13610
ECA1493	g7705
ECA1493	g14399
ECA1493	g1982
ECA1493	g2706
ECA1493	g20706
ECA1493	g14425
ECA1493	g6915
ECA1493	g165
ECA1493	g19451
ECA1493	g2817
ECA1493	g16433
ECA1493	g2041
ECA1493	g14941
ECA1493	g108
ECA1493	g117
ECA1493	g78
ECA1493	g14338
ECA1493	g14896
ECA1493	g22386
ECA1493	g13920
ECA1493	g10882
ECA1493	g14607
ECA1493	g15107
ECA1493	g1896
ECA1493	g127
ECA1493	g9689
ECA1493	g14834
ECA1493	g16439
ECA1493	g20610
ECA1493	g1413
ECA1493	g21889
ECA1493	g10967
