strain	gene
XZ1516	g19817
XZ1516	g20082
XZ1516	g9815
XZ1516	g14067
XZ1516	g1179
XZ1516	g5082
XZ1516	g6813
XZ1516	g4786
XZ1516	g16160
XZ1516	g13726
XZ1516	g17244
XZ1516	g1656
XZ1516	g20121
XZ1516	g21472
XZ1516	g17257
XZ1516	g1762
XZ1516	g5701
XZ1516	g18334
XZ1516	g9330
XZ1516	g18925
XZ1516	g10236
XZ1516	g19707
XZ1516	g10051
XZ1516	g7972
XZ1516	g31
XZ1516	g15822
XZ1516	g19130
XZ1516	g13432
XZ1516	g8665
XZ1516	g22037
XZ1516	g14516
XZ1516	g9568
XZ1516	g15623
XZ1516	g19897
XZ1516	g22228
XZ1516	g10669
XZ1516	g12541
XZ1516	g9121
XZ1516	g106
XZ1516	g9655
XZ1516	g10075
XZ1516	g7726
XZ1516	g9650
XZ1516	g217
XZ1516	g9437
XZ1516	g21839
XZ1516	g26
XZ1516	g15748
XZ1516	g15413
XZ1516	g789
XZ1516	g19869
XZ1516	g19885
XZ1516	g13633
XZ1516	g13381
XZ1516	g2660
XZ1516	g13644
XZ1516	g100
XZ1516	g18530
XZ1516	g6439
XZ1516	g1582
XZ1516	g19930
XZ1516	g20122
XZ1516	g9603
XZ1516	g21425
XZ1516	g12345
XZ1516	g20540
XZ1516	g9485
XZ1516	g20131
XZ1516	g9444
XZ1516	g10475
XZ1516	g10429
XZ1516	g17898
XZ1516	g21375
XZ1516	g8111
XZ1516	g1528
XZ1516	g511
XZ1516	g9928
XZ1516	g18404
XZ1516	g13516
XZ1516	g13212
XZ1516	g11782
XZ1516	g9998
XZ1516	g5279
XZ1516	g22557
XZ1516	g20149
XZ1516	g9567
XZ1516	g9317
XZ1516	g18970
XZ1516	g21291
XZ1516	g15254
XZ1516	g19501
XZ1516	g13576
XZ1516	g6597
XZ1516	g22232
XZ1516	g12529
XZ1516	g5547
XZ1516	g8201
XZ1516	g532
XZ1516	g13916
XZ1516	g2255
XZ1516	g9975
XZ1516	g14519
XZ1516	g21358
XZ1516	g13511
XZ1516	g58
XZ1516	g9395
XZ1516	g9563
XZ1516	g12181
XZ1516	g18506
XZ1516	g16347
XZ1516	g1096
XZ1516	g9720
XZ1516	g18427
XZ1516	g20085
XZ1516	g19819
XZ1516	g99
XZ1516	g9570
XZ1516	g19846
XZ1516	g7968
XZ1516	g16267
XZ1516	g9402
XZ1516	g5041
XZ1516	g6508
XZ1516	g9763
XZ1516	g18763
XZ1516	g8503
XZ1516	g18363
XZ1516	g19850
XZ1516	g328
XZ1516	g9439
XZ1516	g8121
XZ1516	g18532
XZ1516	g18538
XZ1516	g10069
XZ1516	g17461
XZ1516	g20111
XZ1516	g11792
XZ1516	g19711
XZ1516	g16540
XZ1516	g22035
XZ1516	g17580
XZ1516	g9652
XZ1516	g18521
XZ1516	g19826
XZ1516	g18451
XZ1516	g21855
XZ1516	g341
XZ1516	g17581
XZ1516	g13485
XZ1516	g18452
XZ1516	g20081
XZ1516	g9589
XZ1516	g13383
XZ1516	g19834
XZ1516	g13509
XZ1516	g6584
XZ1516	g19840
XZ1516	g25
XZ1516	g22155
XZ1516	g8094
XZ1516	g4364
XZ1516	g21852
XZ1516	g18561
XZ1516	g21849
XZ1516	g20046
XZ1516	g21895
XZ1516	g21920
XZ1516	g20112
XZ1516	g8198
XZ1516	g22136
XZ1516	g9339
XZ1516	g20173
XZ1516	g16248
XZ1516	g11902
XZ1516	g21812
XZ1516	g16257
XZ1516	g13228
XZ1516	g11252
XZ1516	g21990
XZ1516	g10050
XZ1516	g7093
XZ1516	g19827
XZ1516	g18654
XZ1516	g689
XZ1516	g22034
XZ1516	g9666
XZ1516	g13503
XZ1516	g20174
XZ1516	g4325
XZ1516	g22050
XZ1516	g10750
XZ1516	g493
XZ1516	g9483
XZ1516	g1498
XZ1516	g10052
XZ1516	g16239
XZ1516	g916
XZ1516	g9321
XZ1516	g8182
XZ1516	g14524
XZ1516	g13517
XZ1516	g9331
XZ1516	g3363
XZ1516	g22024
XZ1516	g9029
XZ1516	g9482
XZ1516	g21986
XZ1516	g21772
XZ1516	g20158
XZ1516	g13640
XZ1516	g13611
XZ1516	g10830
XZ1516	g21398
XZ1516	g19898
XZ1516	g21889
XZ1516	g16401
XZ1516	g9754
XZ1516	g11481
XZ1516	g9362
XZ1516	g18644
XZ1516	g2546
XZ1516	g17533
XZ1516	g1142
XZ1516	g21893
XZ1516	g11348
XZ1516	g9805
XZ1516	g9451
XZ1516	g20154
XZ1516	g6489
XZ1516	g20151
XZ1516	g3285
XZ1516	g87
XZ1516	g7591
XZ1516	g9553
XZ1516	g8086
XZ1516	g10839
XZ1516	g8070
XZ1516	g9654
XZ1516	g18025
XZ1516	g10222
XZ1516	g18518
XZ1516	g5104
XZ1516	g17940
XZ1516	g5598
XZ1516	g9552
XZ1516	g15919
XZ1516	g18370
XZ1516	g938
XZ1516	g9035
XZ1516	g18421
XZ1516	g396
XZ1516	g3676
XZ1516	g8212
XZ1516	g10033
XZ1516	g19886
XZ1516	g15902
XZ1516	g5178
XZ1516	g8275
XZ1516	g6261
XZ1516	g9342
XZ1516	g6138
XZ1516	g22064
XZ1516	g16252
XZ1516	g10010
XZ1516	g13621
XZ1516	g4315
XZ1516	g13518
XZ1516	g9895
XZ1516	g9739
XZ1516	g21888
XZ1516	g10261
XZ1516	g48
XZ1516	g9349
XZ1516	g8189
XZ1516	g18410
XZ1516	g29
XZ1516	g8026
XZ1516	g5210
XZ1516	g524
XZ1516	g4109
XZ1516	g15892
XZ1516	g21665
XZ1516	g1196
XZ1516	g21376
XZ1516	g1100
XZ1516	g9696
XZ1516	g9752
XZ1516	g19889
XZ1516	g525
XZ1516	g9360
XZ1516	g14509
XZ1516	g17593
XZ1516	g12224
XZ1516	g18478
XZ1516	g12680
XZ1516	g22221
XZ1516	g5348
XZ1516	g1320
XZ1516	g7296
XZ1516	g9622
XZ1516	g21878
XZ1516	g9807
XZ1516	g7374
XZ1516	g16367
XZ1516	g8704
XZ1516	g17376
XZ1516	g1605
XZ1516	g18365
XZ1516	g9858
XZ1516	g15747
XZ1516	g18978
XZ1516	g10216
XZ1516	g20463
XZ1516	g1826
XZ1516	g102
XZ1516	g13043
XZ1516	g22065
XZ1516	g1592
XZ1516	g9874
XZ1516	g11785
XZ1516	g10008
XZ1516	g9397
XZ1516	g10243
XZ1516	g21828
XZ1516	g11724
XZ1516	g13573
XZ1516	g19829
XZ1516	g8140
XZ1516	g18346
XZ1516	g17248
XZ1516	g8171
XZ1516	g9663
XZ1516	g22020
XZ1516	g13519
XZ1516	g20013
XZ1516	g18593
XZ1516	g21918
XZ1516	g692
XZ1516	g8451
XZ1516	g18624
XZ1516	g16268
XZ1516	g16324
XZ1516	g19490
XZ1516	g19890
XZ1516	g9659
XZ1516	g12346
XZ1516	g13474
XZ1516	g15882
XZ1516	g13603
XZ1516	g19858
XZ1516	g8675
XZ1516	g8622
XZ1516	g9487
XZ1516	g8457
XZ1516	g19994
XZ1516	g9394
XZ1516	g21811
XZ1516	g9687
XZ1516	g8242
XZ1516	g11726
XZ1516	g1818
XZ1516	g13630
XZ1516	g16269
XZ1516	g9767
XZ1516	g7058
XZ1516	g9804
XZ1516	g19251
XZ1516	g22231
XZ1516	g950
XZ1516	g9861
XZ1516	g9656
XZ1516	g9727
XZ1516	g11779
XZ1516	g9347
XZ1516	g19695
XZ1516	g18605
XZ1516	g6990
XZ1516	g7111
XZ1516	g8089
XZ1516	g8502
XZ1516	g9758
XZ1516	g9332
XZ1516	g19947
XZ1516	g870
XZ1516	g1097
XZ1516	g9691
XZ1516	g18647
XZ1516	g18589
XZ1516	g22276
XZ1516	g22039
XZ1516	g15219
XZ1516	g22015
XZ1516	g9661
XZ1516	g8681
XZ1516	g11824
XZ1516	g10747
XZ1516	g67
XZ1516	g9127
XZ1516	g13433
XZ1516	g9129
XZ1516	g8472
XZ1516	g1662
XZ1516	g1816
XZ1516	g13570
XZ1516	g9939
XZ1516	g1747
XZ1516	g19861
XZ1516	g14023
XZ1516	g5551
XZ1516	g7974
XZ1516	g10612
XZ1516	g16369
XZ1516	g16326
XZ1516	g6026
XZ1516	g18621
XZ1516	g8448
XZ1516	g11140
XZ1516	g21813
XZ1516	g8703
XZ1516	g13849
XZ1516	g14520
XZ1516	g8088
XZ1516	g1599
XZ1516	g9930
XZ1516	g5385
XZ1516	g10024
XZ1516	g13
XZ1516	g19996
XZ1516	g8373
XZ1516	g18369
XZ1516	g8190
XZ1516	g654
XZ1516	g19691
XZ1516	g17
XZ1516	g20120
XZ1516	g17301
XZ1516	g19990
XZ1516	g17058
XZ1516	g1092
XZ1516	g13716
XZ1516	g18357
XZ1516	g17857
XZ1516	g8112
XZ1516	g21829
XZ1516	g16793
XZ1516	g7071
XZ1516	g8422
XZ1516	g7031
XZ1516	g19851
XZ1516	g5347
XZ1516	g9398
XZ1516	g13727
XZ1516	g520
XZ1516	g19948
XZ1516	g19729
XZ1516	g28
XZ1516	g14379
XZ1516	g7117
XZ1516	g7037
XZ1516	g1689
XZ1516	g15746
XZ1516	g17283
XZ1516	g18620
XZ1516	g6808
XZ1516	g6228
XZ1516	g9782
XZ1516	g7569
XZ1516	g17300
XZ1516	g17535
XZ1516	g383
XZ1516	g1603
XZ1516	g15880
XZ1516	g21473
XZ1516	g16243
XZ1516	g4811
XZ1516	g19877
XZ1516	g21038
XZ1516	g4844
XZ1516	g9361
XZ1516	g19825
XZ1516	g19934
XZ1516	g18417
XZ1516	g15576
XZ1516	g9519
XZ1516	g9662
XZ1516	g8069
XZ1516	g4806
XZ1516	g18414
XZ1516	g73
XZ1516	g7055
XZ1516	g12566
XZ1516	g19450
XZ1516	g9963
XZ1516	g17254
XZ1516	g20155
XZ1516	g518
XZ1516	g1190
XZ1516	g10599
XZ1516	g9970
XZ1516	g43
XZ1516	g7684
XZ1516	g7965
XZ1516	g1745
XZ1516	g16479
XZ1516	g5506
XZ1516	g70
XZ1516	g8002
XZ1516	g6319
XZ1516	g84
XZ1516	g6550
XZ1516	g18640
XZ1516	g22351
XZ1516	g8185
XZ1516	g21907
XZ1516	g8149
XZ1516	g19866
XZ1516	g1194
XZ1516	g8529
XZ1516	g9647
XZ1516	g778
XZ1516	g2256
XZ1516	g19995
XZ1516	g18618
XZ1516	g11781
XZ1516	g12995
XZ1516	g533
XZ1516	g881
XZ1516	g13620
XZ1516	g14752
XZ1516	g8241
XZ1516	g20178
XZ1516	g21474
XZ1516	g10044
XZ1516	g4800
XZ1516	g11913
XZ1516	g18592
XZ1516	g4950
XZ1516	g15575
XZ1516	g7687
XZ1516	g519
XZ1516	g18598
XZ1516	g22822
XZ1516	g21818
XZ1516	g9940
XZ1516	g12469
XZ1516	g14522
XZ1516	g6229
XZ1516	g13713
XZ1516	g8705
XZ1516	g9502
XZ1516	g15742
XZ1516	g8671
XZ1516	g8455
XZ1516	g13382
XZ1516	g13435
XZ1516	g20152
XZ1516	g17277
XZ1516	g19946
XZ1516	g20074
XZ1516	g9122
XZ1516	g14523
XZ1516	g20626
XZ1516	g17443
XZ1516	g2550
XZ1516	g19857
XZ1516	g9329
XZ1516	g1388
XZ1516	g13309
XZ1516	g11933
XZ1516	g375
XZ1516	g485
XZ1516	g7287
XZ1516	g9733
XZ1516	g9324
XZ1516	g9363
XZ1516	g18603
XZ1516	g8453
XZ1516	g1820
XZ1516	g18490
XZ1516	g12559
XZ1516	g9449
XZ1516	g9629
XZ1516	g283
XZ1516	g11517
XZ1516	g1581
XZ1516	g14251
XZ1516	g22025
XZ1516	g488
XZ1516	g19875
XZ1516	g9868
XZ1516	g9628
XZ1516	g10548
XZ1516	g20004
XZ1516	g18397
XZ1516	g9766
XZ1516	g9115
XZ1516	g10034
XZ1516	g10738
XZ1516	g57
XZ1516	g15826
XZ1516	g1760
XZ1516	g18649
XZ1516	g8623
XZ1516	g19909
XZ1516	g21840
XZ1516	g8701
XZ1516	g8238
XZ1516	g1108
XZ1516	g343
XZ1516	g295
XZ1516	g9731
XZ1516	g16457
XZ1516	g16159
XZ1516	g668
XZ1516	g16325
XZ1516	g9881
XZ1516	g15542
XZ1516	g10019
XZ1516	g18183
XZ1516	g18664
XZ1516	g1497
XZ1516	g15752
XZ1516	g19997
XZ1516	g1564
XZ1516	g21480
XZ1516	g7068
XZ1516	g18412
XZ1516	g12042
XZ1516	g6791
XZ1516	g2101
XZ1516	g81
XZ1516	g182
XZ1516	g78
XZ1516	g2551
XZ1516	g19688
XZ1516	g1098
XZ1516	g19908
XZ1516	g19852
XZ1516	g8016
XZ1516	g9871
XZ1516	g13508
XZ1516	g21435
XZ1516	g8213
XZ1516	g8014
XZ1516	g9863
XZ1516	g17378
XZ1516	g13717
XZ1516	g9688
XZ1516	g8660
XZ1516	g9500
XZ1516	g19833
XZ1516	g16126
XZ1516	g21279
XZ1516	g8447
XZ1516	g22227
XZ1516	g4361
XZ1516	g22234
XZ1516	g1
XZ1516	g10232
XZ1516	g14518
XZ1516	g4314
XZ1516	g8174
XZ1516	g82
XZ1516	g8203
XZ1516	g13492
XZ1516	g9686
XZ1516	g1589
XZ1516	g19741
XZ1516	g18528
XZ1516	g18372
XZ1516	g16350
XZ1516	g16436
XZ1516	g7064
XZ1516	g21807
XZ1516	g21808
XZ1516	g7136
XZ1516	g9539
XZ1516	g22002
XZ1516	g13563
XZ1516	g1460
XZ1516	g7594
XZ1516	g499
XZ1516	g8060
XZ1516	g2
XZ1516	g9856
XZ1516	g9813
XZ1516	g9665
XZ1516	g10496
XZ1516	g20091
XZ1516	g1722
XZ1516	g9545
XZ1516	g9943
XZ1516	g20159
XZ1516	g7067
XZ1516	g21456
XZ1516	g9713
XZ1516	g18512
XZ1516	g18179
XZ1516	g9859
XZ1516	g14515
XZ1516	g15560
XZ1516	g15754
XZ1516	g10402
XZ1516	g19862
XZ1516	g19879
XZ1516	g10835
XZ1516	g21844
XZ1516	g19863
XZ1516	g16351
XZ1516	g10601
XZ1516	g278
XZ1516	g19915
XZ1516	g9404
XZ1516	g688
XZ1516	g280
XZ1516	g9749
XZ1516	g5382
XZ1516	g8471
XZ1516	g531
XZ1516	g11997
XZ1516	g14517
XZ1516	g1594
XZ1516	g10749
XZ1516	g11482
XZ1516	g8661
XZ1516	g21987
XZ1516	g20702
XZ1516	g1598
XZ1516	g18539
XZ1516	g9114
XZ1516	g9620
XZ1516	g19970
XZ1516	g7973
XZ1516	g14698
XZ1516	g1218
XZ1516	g19853
XZ1516	g7113
XZ1516	g10828
XZ1516	g7118
XZ1516	g20128
XZ1516	g13757
XZ1516	g9480
XZ1516	g10065
XZ1516	g18536
XZ1516	g18534
XZ1516	g9962
XZ1516	g103
XZ1516	g13704
XZ1516	g21931
XZ1516	g21935
XZ1516	g21943
XZ1516	g21947
XZ1516	g21939
XZ1516	g9523
XZ1516	g9935
XZ1516	g16501
XZ1516	g7116
XZ1516	g11784
XZ1516	g9724
XZ1516	g9793
XZ1516	g21242
XZ1516	g44
XZ1516	g6787
XZ1516	g19708
XZ1516	g5432
XZ1516	g16238
XZ1516	g13718
XZ1516	g6721
XZ1516	g640
XZ1516	g5278
XZ1516	g9844
XZ1516	g4022
XZ1516	g8164
XZ1516	g1827
XZ1516	g16240
XZ1516	g19873
XZ1516	g7040
XZ1516	g19927
XZ1516	g19844
XZ1516	g12348
XZ1516	g20164
XZ1516	g954
XZ1516	g21805
XZ1516	g9917
XZ1516	g19925
XZ1516	g10039
XZ1516	g55
XZ1516	g21438
XZ1516	g8444
XZ1516	g20116
XZ1516	g11048
XZ1516	g15622
XZ1516	g13557
XZ1516	g9855
XZ1516	g10000
XZ1516	g21875
XZ1516	g10225
XZ1516	g10600
XZ1516	g10067
XZ1516	g5469
XZ1516	g21423
XZ1516	g10239
XZ1516	g8157
XZ1516	g9401
XZ1516	g8128
XZ1516	g13753
XZ1516	g21466
XZ1516	g19904
XZ1516	g665
XZ1516	g13702
XZ1516	g9690
XZ1516	g12344
XZ1516	g13328
XZ1516	g20593
XZ1516	g13722
XZ1516	g4952
XZ1516	g18587
XZ1516	g13638
XZ1516	g9562
XZ1516	g5383
XZ1516	g11786
XZ1516	g641
XZ1516	g11819
XZ1516	g9392
XZ1516	g9771
XZ1516	g5127
XZ1516	g4758
XZ1516	g10006
XZ1516	g19821
XZ1516	g128
XZ1516	g9498
XZ1516	g7938
XZ1516	g21476
XZ1516	g14324
XZ1516	g9538
XZ1516	g693
XZ1516	g638
XZ1516	g614
XZ1516	g1849
XZ1516	g1563
XZ1516	g20776
XZ1516	g13719
XZ1516	g21921
XZ1516	g20133
XZ1516	g5063
XZ1516	g6309
XZ1516	g8
XZ1516	g21481
XZ1516	g622
XZ1516	g16058
XZ1516	g19888
XZ1516	g14468
XZ1516	g9537
XZ1516	g612
XZ1516	g9770
XZ1516	g13476
XZ1516	g53
XZ1516	g13914
XZ1516	g1167
XZ1516	g15887
XZ1516	g17059
XZ1516	g16220
XZ1516	g22014
XZ1516	g18337
XZ1516	g11935
XZ1516	g13571
XZ1516	g18591
XZ1516	g9590
XZ1516	g10748
XZ1516	g19906
XZ1516	g21278
XZ1516	g19854
XZ1516	g13377
XZ1516	g9503
XZ1516	g9903
XZ1516	g1583
XZ1516	g8641
