strain	gene
ECA1761	g400
ECA1761	g16245
ECA1761	g12353
ECA1761	g16435
ECA1761	g16704
ECA1761	g16420
ECA1761	g12385
ECA1761	g16418
ECA1761	g4423
ECA1761	g12490
ECA1761	g20389
ECA1761	g18763
ECA1761	g12635
ECA1761	g5814
ECA1761	g4299
ECA1761	g1299
ECA1761	g1796
ECA1761	g20344
ECA1761	g16423
ECA1761	g20065
ECA1761	g12727
ECA1761	g4527
ECA1761	g19892
ECA1761	g18030
ECA1761	g20341
ECA1761	g13707
ECA1761	g21819
ECA1761	g6235
ECA1761	g13826
ECA1761	g19894
ECA1761	g20539
ECA1761	g16512
ECA1761	g12730
ECA1761	g4373
ECA1761	g4330
ECA1761	g19883
ECA1761	g12487
ECA1761	g16399
ECA1761	g4329
ECA1761	g4390
ECA1761	g21851
ECA1761	g12781
ECA1761	g16700
ECA1761	g21628
ECA1761	g4317
ECA1761	g12379
ECA1761	g19889
ECA1761	g5066
ECA1761	g12672
ECA1761	g12843
ECA1761	g17677
ECA1761	g4556
ECA1761	g16413
ECA1761	g16520
ECA1761	g21141
ECA1761	g16437
ECA1761	g20066
ECA1761	g16536
ECA1761	g19881
ECA1761	g4729
ECA1761	g19104
ECA1761	g4544
ECA1761	g21043
ECA1761	g9767
ECA1761	g16442
ECA1761	g13444
ECA1761	g4767
ECA1761	g20650
ECA1761	g3591
ECA1761	g12380
ECA1761	g4371
ECA1761	g22481
ECA1761	g16532
ECA1761	g16283
ECA1761	g3708
ECA1761	g4305
ECA1761	g4280
ECA1761	g10737
ECA1761	g174
ECA1761	g12538
ECA1761	g9690
ECA1761	g1004
ECA1761	g3955
ECA1761	g4534
ECA1761	g20085
ECA1761	g20091
ECA1761	g16560
ECA1761	g4284
ECA1761	g4601
ECA1761	g16243
ECA1761	g12728
ECA1761	g4248
ECA1761	g173
ECA1761	g16515
ECA1761	g19897
ECA1761	g4277
ECA1761	g19909
ECA1761	g4065
ECA1761	g16205
ECA1761	g12639
ECA1761	g20756
ECA1761	g20894
ECA1761	g16554
ECA1761	g16397
ECA1761	g6981
ECA1761	g3656
ECA1761	g18301
ECA1761	g16891
ECA1761	g19902
ECA1761	g4372
ECA1761	g16716
ECA1761	g16255
ECA1761	g16467
ECA1761	g3582
ECA1761	g19900
ECA1761	g19901
ECA1761	g3768
ECA1761	g21049
ECA1761	g22117
ECA1761	g4420
ECA1761	g7248
ECA1761	g21250
ECA1761	g4532
ECA1761	g4538
ECA1761	g4349
ECA1761	g4348
ECA1761	g4375
ECA1761	g3605
ECA1761	g21106
ECA1761	g16621
ECA1761	g9750
ECA1761	g20153
ECA1761	g402
ECA1761	g4535
ECA1761	g4196
ECA1761	g15190
ECA1761	g15807
ECA1761	g19908
ECA1761	g16456
ECA1761	g11985
ECA1761	g4419
ECA1761	g3229
ECA1761	g22379
ECA1761	g21847
ECA1761	g4355
ECA1761	g19879
ECA1761	g16422
ECA1761	g22648
ECA1761	g13873
ECA1761	g21758
ECA1761	g4537
ECA1761	g13504
ECA1761	g12352
ECA1761	g3068
ECA1761	g5636
ECA1761	g12362
ECA1761	g4332
ECA1761	g12193
ECA1761	g4236
ECA1761	g19925
ECA1761	g15013
ECA1761	g21740
ECA1761	g16531
ECA1761	g12729
ECA1761	g4244
ECA1761	g17753
ECA1761	g4350
ECA1761	g16619
ECA1761	g4579
ECA1761	g4279
ECA1761	g4726
ECA1761	g11216
ECA1761	g133
ECA1761	g20907
ECA1761	g14872
ECA1761	g19905
ECA1761	g5705
ECA1761	g19161
ECA1761	g19904
ECA1761	g4558
ECA1761	g15239
ECA1761	g19882
ECA1761	g16412
ECA1761	g19893
ECA1761	g19888
ECA1761	g19914
ECA1761	g4536
ECA1761	g14716
ECA1761	g19542
ECA1761	g16546
ECA1761	g4730
ECA1761	g145
ECA1761	g16516
ECA1761	g10867
ECA1761	g22508
ECA1761	g16524
ECA1761	g630
ECA1761	g16950
ECA1761	g3950
ECA1761	g4386
ECA1761	g5714
ECA1761	g22119
ECA1761	g20918
ECA1761	g20917
ECA1761	g19886
ECA1761	g19890
ECA1761	g20520
ECA1761	g16711
ECA1761	g5635
ECA1761	g4426
ECA1761	g4302
ECA1761	g3704
ECA1761	g16404
ECA1761	g11034
ECA1761	g1031
ECA1761	g457
ECA1761	g308
ECA1761	g4387
ECA1761	g21757
ECA1761	g7925
ECA1761	g12488
ECA1761	g4046
ECA1761	g4727
ECA1761	g12363
ECA1761	g16436
ECA1761	g4561
ECA1761	g280
ECA1761	g4362
ECA1761	g18580
ECA1761	g16427
ECA1761	g20102
ECA1761	g16687
ECA1761	g20360
ECA1761	g16453
ECA1761	g20938
ECA1761	g5881
ECA1761	g12331
ECA1761	g4412
ECA1761	g22893
ECA1761	g22801
ECA1761	g4263
ECA1761	g5843
ECA1761	g21104
ECA1761	g16450
ECA1761	g4359
ECA1761	g12489
ECA1761	g13778
ECA1761	g12724
ECA1761	g14453
ECA1761	g7526
ECA1761	g16244
ECA1761	g16462
ECA1761	g4067
ECA1761	g19509
ECA1761	g20064
ECA1761	g5392
ECA1761	g20536
ECA1761	g16443
ECA1761	g16881
ECA1761	g4548
ECA1761	g4531
ECA1761	g20593
ECA1761	g20285
ECA1761	g15282
ECA1761	g20583
ECA1761	g16622
ECA1761	g16519
ECA1761	g16202
ECA1761	g5196
ECA1761	g20676
ECA1761	g4328
ECA1761	g4408
ECA1761	g3801
ECA1761	g3985
ECA1761	g22386
ECA1761	g4313
ECA1761	g20540
ECA1761	g21142
ECA1761	g12452
ECA1761	g16690
ECA1761	g4306
ECA1761	g18790
ECA1761	g21105
ECA1761	g16426
ECA1761	g12491
ECA1761	g22892
ECA1761	g9777
ECA1761	g979
ECA1761	g3353
ECA1761	g15329
ECA1761	g13477
ECA1761	g12343
ECA1761	g16419
ECA1761	g3777
ECA1761	g16691
ECA1761	g21756
ECA1761	g15242
ECA1761	g16411
ECA1761	g16459
ECA1761	g3241
ECA1761	g279
ECA1761	g4427
ECA1761	g16405
ECA1761	g16398
ECA1761	g21755
ECA1761	g16425
ECA1761	g14518
ECA1761	g4315
ECA1761	g16448
ECA1761	g2762
ECA1761	g16530
ECA1761	g153
ECA1761	g20893
ECA1761	g17087
ECA1761	g13274
ECA1761	g8617
ECA1761	g16440
ECA1761	g20067
ECA1761	g17360
ECA1761	g4291
ECA1761	g4418
ECA1761	g12486
ECA1761	g3984
ECA1761	g4553
ECA1761	g12378
ECA1761	g14578
ECA1761	g18702
ECA1761	g4552
ECA1761	g13196
ECA1761	g11147
ECA1761	g12530
ECA1761	g10407
ECA1761	g4347
ECA1761	g21107
ECA1761	g16706
ECA1761	g18868
ECA1761	g16698
ECA1761	g3123
ECA1761	g3651
ECA1761	g4340
ECA1761	g4361
ECA1761	g16702
ECA1761	g16705
ECA1761	g21743
ECA1761	g17556
ECA1761	g7466
ECA1761	g20093
ECA1761	g4551
ECA1761	g16514
ECA1761	g21675
ECA1761	g16457
ECA1761	g22616
ECA1761	g19874
ECA1761	g19219
ECA1761	g4530
ECA1761	g715
ECA1761	g4260
ECA1761	g9638
ECA1761	g12361
ECA1761	g79
ECA1761	g19365
ECA1761	g20559
ECA1761	g16416
ECA1761	g3124
ECA1761	g3505
ECA1761	g281
ECA1761	g4963
ECA1761	g19218
ECA1761	g11464
ECA1761	g22126
ECA1761	g22617
ECA1761	g3769
ECA1761	g10865
ECA1761	g16471
ECA1761	g4377
ECA1761	g18762
ECA1761	g4411
ECA1761	g5637
ECA1761	g20089
ECA1761	g7061
ECA1761	g16715
ECA1761	g20538
ECA1761	g18622
ECA1761	g15331
ECA1761	g398
ECA1761	g22124
ECA1761	g5455
ECA1761	g408
ECA1761	g4770
ECA1761	g12454
ECA1761	g21050
ECA1761	g4173
ECA1761	g12091
ECA1761	g16461
ECA1761	g16280
ECA1761	g4585
ECA1761	g13699
ECA1761	g16232
ECA1761	g16707
ECA1761	g19563
ECA1761	g16428
ECA1761	g16511
ECA1761	g3958
ECA1761	g10857
ECA1761	g19257
ECA1761	g21481
ECA1761	g4583
ECA1761	g16699
ECA1761	g19564
ECA1761	g12342
ECA1761	g16408
ECA1761	g13482
ECA1761	g16940
ECA1761	g9740
ECA1761	g4368
ECA1761	g17332
ECA1761	g19916
ECA1761	g19899
ECA1761	g16525
ECA1761	g16541
ECA1761	g3544
ECA1761	g15860
ECA1761	g17510
ECA1761	g17678
ECA1761	g16529
ECA1761	g4740
ECA1761	g20343
ECA1761	g16689
ECA1761	g17529
ECA1761	g22681
ECA1761	g22968
ECA1761	g190
ECA1761	g4326
ECA1761	g13443
ECA1761	g10177
ECA1761	g16518
ECA1761	g16526
ECA1761	g13655
ECA1761	g21690
ECA1761	g12804
ECA1761	g9448
ECA1761	g16885
ECA1761	g469
ECA1761	g5515
ECA1761	g6940
ECA1761	g3888
ECA1761	g13031
ECA1761	g12725
ECA1761	g4644
ECA1761	g184
ECA1761	g16446
ECA1761	g12963
ECA1761	g16414
ECA1761	g12348
ECA1761	g4422
ECA1761	g20597
ECA1761	g12801
ECA1761	g4529
ECA1761	g21007
ECA1761	g16400
ECA1761	g20262
ECA1761	g4765
ECA1761	g13427
ECA1761	g5921
ECA1761	g1002
ECA1761	g4416
ECA1761	g13864
ECA1761	g4261
ECA1761	g4366
ECA1761	g19921
ECA1761	g16454
ECA1761	g16548
ECA1761	g16697
ECA1761	g4339
ECA1761	g19920
ECA1761	g20755
ECA1761	g4346
ECA1761	g4358
ECA1761	g4766
ECA1761	g16455
ECA1761	g19157
ECA1761	g13906
ECA1761	g9858
ECA1761	g16256
ECA1761	g4289
ECA1761	g5893
ECA1761	g16410
ECA1761	g20111
ECA1761	g19926
ECA1761	g13706
ECA1761	g16406
ECA1761	g12347
ECA1761	g16534
ECA1761	g149
ECA1761	g12477
ECA1761	g3953
ECA1761	g4393
ECA1761	g4376
ECA1761	g16433
ECA1761	g12376
ECA1761	g4762
ECA1761	g3887
ECA1761	g20090
ECA1761	g18054
ECA1761	g18844
ECA1761	g4395
ECA1761	g16246
ECA1761	g16449
ECA1761	g21103
ECA1761	g3086
ECA1761	g16533
ECA1761	g22618
ECA1761	g12864
ECA1761	g4374
ECA1761	g4211
ECA1761	g20780
ECA1761	g20581
ECA1761	g4409
ECA1761	g15046
ECA1761	g16209
ECA1761	g16902
ECA1761	g16465
ECA1761	g2793
ECA1761	g4582
ECA1761	g18708
ECA1761	g20820
ECA1761	g21144
ECA1761	g21143
ECA1761	g12349
ECA1761	g21840
ECA1761	g13621
ECA1761	g13700
ECA1761	g4367
ECA1761	g4728
ECA1761	g12484
ECA1761	g20452
ECA1761	g12383
ECA1761	g16543
ECA1761	g19911
ECA1761	g12638
ECA1761	g4316
ECA1761	g3709
ECA1761	g4425
ECA1761	g4360
ECA1761	g22894
ECA1761	g8270
ECA1761	g12846
ECA1761	g19205
ECA1761	g12844
ECA1761	g21149
ECA1761	g19541
ECA1761	g4327
ECA1761	g12492
ECA1761	g12806
ECA1761	g12341
ECA1761	g4331
ECA1761	g16429
ECA1761	g16402
ECA1761	g4697
ECA1761	g19917
ECA1761	g4392
ECA1761	g7420
ECA1761	g20857
ECA1761	g21839
ECA1761	g12350
ECA1761	g16963
ECA1761	g16445
ECA1761	g19513
ECA1761	g16407
ECA1761	g19918
ECA1761	g12845
ECA1761	g12386
ECA1761	g4301
ECA1761	g21764
ECA1761	g4424
ECA1761	g16537
ECA1761	g16403
ECA1761	g9186
ECA1761	g15804
ECA1761	g16551
ECA1761	g19898
ECA1761	g23004
ECA1761	g20263
ECA1761	g4533
ECA1761	g16233
ECA1761	g4769
ECA1761	g16521
ECA1761	g16545
ECA1761	g14547
ECA1761	g15212
ECA1761	g4249
ECA1761	g4417
ECA1761	g12731
ECA1761	g18768
ECA1761	g16451
ECA1761	g16714
ECA1761	g150
ECA1761	g21751
ECA1761	g16517
ECA1761	g2647
ECA1761	g18863
ECA1761	g22969
ECA1761	g4389
ECA1761	g4741
ECA1761	g16557
ECA701	g18249
ECA701	g12650
ECA701	g12560
ECA701	g10346
ECA701	g10345
ECA701	g12359
ECA701	g5960
ECA701	g12933
ECA701	g17925
ECA701	g21159
ECA701	g13251
ECA701	g12577
ECA701	g18313
ECA701	g9777
ECA701	g1359
ECA701	g1180
ECA701	g17375
ECA701	g12929
ECA701	g14273
ECA701	g16433
ECA701	g12598
ECA701	g16435
ECA701	g12827
ECA701	g21982
ECA701	g1347
ECA701	g22143
ECA701	g9918
ECA701	g12678
ECA701	g12296
ECA701	g17959
ECA701	g15964
ECA701	g14491
ECA701	g14493
ECA701	g9756
ECA701	g10003
ECA701	g8284
ECA701	g12299
ECA701	g12148
ECA701	g14492
ECA701	g14490
ECA701	g2828
ECA701	g14494
ECA701	g10919
ECA701	g227
ECA701	g10040
ECA701	g17927
ECA701	g10027
ECA701	g12502
ECA701	g1200
ECA701	g2830
ECA701	g9929
ECA701	g12107
ECA701	g12149
ECA701	g13203
ECA701	g19220
ECA701	g19697
ECA701	g19865
ECA701	g12930
ECA701	g9933
ECA701	g9950
ECA701	g12604
ECA701	g11406
ECA701	g10245
ECA701	g11962
ECA701	g19196
ECA701	g10198
ECA701	g10921
ECA701	g12590
ECA701	g9754
ECA701	g2846
ECA701	g5636
ECA701	g17921
ECA701	g4224
ECA701	g14495
ECA701	g19250
ECA701	g12297
ECA701	g9948
ECA701	g15993
ECA701	g10020
ECA701	g19696
ECA701	g21229
ECA701	g11984
ECA701	g20507
ECA701	g18304
ECA701	g10015
ECA701	g19195
ECA701	g12491
ECA701	g11565
ECA701	g14703
ECA701	g18247
ECA701	g3638
ECA701	g9940
ECA701	g14858
ECA701	g12317
ECA701	g15992
ECA701	g20909
ECA701	g20549
ECA701	g20115
ECA701	g11892
ECA701	g10085
ECA701	g4514
ECA701	g12574
ECA701	g13505
ECA701	g21131
ECA701	g253
ECA701	g19864
ECA701	g11979
ECA701	g19687
ECA701	g12605
ECA701	g9913
ECA701	g10065
ECA701	g7782
ECA701	g10055
ECA701	g17937
ECA701	g4221
ECA701	g3332
ECA701	g9995
ECA701	g12624
ECA701	g12677
ECA701	g10052
ECA701	g4547
ECA701	g12497
ECA701	g10238
ECA701	g113
ECA701	g10013
ECA701	g4215
ECA701	g12550
ECA701	g7635
ECA701	g10274
ECA701	g9908
ECA701	g10225
ECA701	g15987
ECA701	g10704
ECA701	g10010
ECA701	g12368
ECA701	g9930
ECA701	g10077
ECA701	g10021
ECA701	g9836
ECA701	g18248
ECA701	g9935
ECA701	g10235
ECA701	g21254
ECA701	g10007
ECA701	g1635
ECA701	g10001
ECA701	g1409
ECA701	g10049
ECA701	g10865
ECA701	g21138
ECA701	g7536
ECA701	g10046
ECA701	g10600
ECA701	g12338
ECA701	g7955
ECA701	g12561
ECA701	g9927
ECA701	g12542
ECA701	g19964
ECA701	g20966
ECA701	g9761
ECA701	g9932
ECA701	g20905
ECA701	g10061
ECA701	g10043
ECA701	g10050
ECA701	g10008
ECA701	g21605
ECA701	g10595
ECA701	g19393
ECA701	g14570
ECA701	g10649
ECA701	g22787
ECA701	g13306
ECA701	g21898
ECA701	g4327
ECA701	g20528
ECA701	g15247
ECA701	g12934
ECA701	g9922
ECA701	g15855
ECA701	g12342
ECA701	g9944
ECA701	g12728
ECA701	g9752
ECA701	g13814
ECA701	g10025
ECA701	g21269
ECA701	g19970
ECA701	g21004
ECA701	g21378
ECA701	g11588
ECA701	g10075
ECA701	g10014
ECA701	g14214
ECA701	g12158
ECA701	g21129
ECA701	g12245
ECA701	g9745
ECA701	g11016
ECA701	g10705
ECA701	g12366
ECA701	g12931
ECA701	g9915
ECA701	g21271
ECA701	g12364
ECA701	g15988
ECA701	g16370
ECA701	g16376
ECA701	g21130
ECA701	g10042
ECA701	g17951
ECA701	g10237
ECA701	g22330
ECA701	g12337
ECA701	g12675
ECA701	g10442
ECA701	g11637
ECA701	g12318
ECA701	g10269
ECA701	g20467
ECA701	g12671
ECA701	g20666
ECA701	g9909
ECA701	g12146
ECA701	g13548
ECA701	g11977
ECA701	g12301
ECA701	g18144
ECA701	g12400
ECA701	g12490
ECA701	g12393
ECA701	g17935
ECA701	g12570
ECA701	g16369
ECA701	g16372
ECA701	g9926
ECA701	g19808
ECA701	g21939
ECA701	g17239
ECA701	g17240
ECA701	g9916
ECA701	g17960
ECA701	g1408
ECA701	g20583
ECA701	g10246
ECA701	g9834
ECA701	g9750
ECA701	g13307
ECA701	g20582
ECA701	g11591
ECA701	g21364
ECA701	g18250
ECA701	g9833
ECA701	g21161
ECA701	g17922
ECA701	g5151
ECA701	g1587
ECA701	g5840
ECA701	g19394
ECA701	g11597
ECA701	g4216
ECA701	g4220
ECA701	g17923
ECA701	g10917
ECA701	g8495
ECA701	g12150
ECA701	g5008
ECA701	g5445
ECA701	g9774
ECA701	g12601
ECA701	g9923
ECA701	g183
ECA701	g17759
ECA701	g12346
ECA701	g11636
ECA701	g6175
ECA701	g21255
ECA701	g12679
ECA701	g4219
ECA701	g12363
ECA701	g10009
ECA701	g21244
ECA701	g21270
ECA701	g12936
ECA701	g12558
ECA701	g16942
ECA701	g1486
ECA701	g11627
ECA701	g10224
ECA701	g10034
ECA701	g10006
ECA701	g13628
ECA701	g17930
ECA701	g10035
ECA701	g9759
ECA701	g14034
ECA701	g21133
ECA701	g10682
ECA701	g10073
ECA701	g167
ECA701	g9267
ECA701	g12396
ECA701	g15977
ECA701	g11501
ECA701	g17926
ECA701	g4835
ECA701	g12315
ECA701	g1657
ECA701	g13199
ECA701	g10405
ECA701	g12362
ECA701	g10404
ECA701	g6962
ECA701	g21125
ECA701	g10036
ECA701	g13305
ECA701	g19531
ECA701	g12397
ECA701	g10039
ECA701	g21971
ECA701	g11607
ECA701	g12399
ECA701	g22841
ECA701	g172
ECA701	g12326
ECA701	g22372
ECA701	g10084
ECA701	g12501
ECA701	g12724
ECA701	g9763
ECA701	g9899
ECA701	g7737
ECA701	g15103
ECA701	g12613
ECA701	g18297
ECA701	g14479
ECA701	g16058
ECA701	g6585
ECA701	g11476
ECA701	g10081
ECA701	g13129
ECA701	g10994
ECA701	g22840
ECA701	g21243
ECA701	g18662
ECA701	g12548
ECA701	g21221
ECA701	g12179
ECA701	g9949
ECA701	g9753
ECA701	g12586
ECA701	g10323
ECA701	g9938
ECA701	g1341
ECA701	g10022
ECA701	g10004
ECA701	g18638
ECA701	g11841
ECA701	g17924
ECA701	g21022
ECA701	g12304
ECA701	g10566
ECA701	g21989
ECA701	g10026
ECA701	g4222
ECA701	g10236
ECA701	g19219
ECA701	g12343
ECA701	g19867
ECA701	g10659
ECA701	g12503
ECA701	g17928
ECA701	g10683
ECA701	g12536
ECA701	g10272
ECA701	g9928
ECA701	g107
ECA701	g11978
ECA701	g6209
ECA701	g21222
ECA701	g20609
ECA701	g9773
ECA701	g13089
ECA701	g17929
ECA701	g11647
ECA701	g9946
ECA701	g12575
ECA701	g20911
ECA701	g4890
ECA701	g10047
ECA701	g20586
ECA701	g17466
ECA701	g12676
ECA701	g12344
ECA701	g10032
ECA701	g10703
ECA701	g9906
ECA701	g9747
ECA701	g19866
ECA701	g11017
ECA701	g10076
ECA701	g12535
ECA701	g10033
ECA701	g21386
ECA701	g12559
ECA701	g14246
ECA701	g12573
ECA701	g19809
ECA701	g12589
ECA701	g12123
ECA701	g11884
ECA701	g10053
ECA701	g20584
ECA701	g12532
ECA701	g12391
ECA701	g12643
ECA701	g12581
ECA701	g10063
ECA701	g12597
ECA701	g12591
ECA701	g4488
ECA701	g12495
ECA701	g10368
ECA701	g22547
ECA701	g17386
ECA701	g14480
ECA701	g11839
ECA701	g10681
ECA701	g7616
ECA701	g12489
ECA701	g19253
ECA701	g19919
ECA701	g15917
ECA701	g21938
ECA701	g21262
ECA701	g21257
ECA701	g10993
ECA701	g12760
ECA701	g19634
ECA701	g17932
ECA701	g11626
ECA701	g17934
ECA701	g538
ECA701	g21088
ECA701	g21228
ECA701	g21282
ECA701	g19883
ECA701	g6860
ECA701	g21259
ECA701	g10011
ECA701	g9334
ECA701	g10012
ECA701	g19868
ECA701	g21230
ECA701	g12340
ECA701	g274
ECA701	g17943
ECA701	g13200
ECA701	g7235
ECA701	g10016
ECA701	g10048
ECA701	g12725
ECA701	g12398
ECA701	g10057
ECA701	g12674
ECA701	g12552
ECA701	g168
ECA701	g14669
ECA701	g12117
ECA701	g20581
ECA701	g22300
ECA701	g17933
ECA701	g19221
ECA701	g2535
ECA701	g7763
ECA701	g20673
ECA701	g21245
ECA701	g9939
ECA701	g11966
ECA701	g9760
ECA701	g13166
ECA701	g12602
ECA701	g11695
ECA701	g16373
ECA701	g16368
ECA701	g13304
ECA701	g10044
ECA701	g4679
ECA701	g11499
ECA701	g13000
ECA701	g9931
ECA701	g12579
ECA701	g9023
ECA701	g19255
ECA701	g22301
ECA701	g9934
ECA701	g12147
ECA701	g18416
ECA701	g11629
ECA701	g12302
ECA701	g10440
ECA701	g15990
ECA701	g12133
ECA701	g12327
ECA701	g18471
ECA701	g10019
ECA701	g20587
ECA701	g13003
ECA701	g21079
ECA701	g27
ECA701	g12651
ECA701	g18256
ECA701	g4976
ECA701	g4217
ECA701	g8391
ECA701	g12603
ECA701	g6176
ECA701	g21260
ECA701	g10201
ECA701	g21227
ECA701	g21356
ECA701	g10066
ECA701	g12367
ECA701	g12928
ECA701	g13323
ECA701	g5407
ECA701	g18142
ECA701	g9463
ECA701	g9936
ECA701	g18965
ECA701	g18170
ECA701	g13119
ECA701	g12637
ECA701	g9758
ECA701	g20856
ECA701	g10670
ECA701	g5904
ECA701	g12298
ECA701	g15834
ECA701	g14090
ECA701	g21264
ECA701	g9945
ECA701	g3116
ECA701	g10804
ECA701	g20904
ECA701	g17953
ECA701	g10056
ECA701	g5457
ECA701	g10565
ECA701	g20382
ECA701	g14620
ECA701	g12638
ECA701	g10062
ECA701	g10051
ECA701	g9912
ECA701	g10499
ECA701	g5557
ECA701	g12622
ECA701	g17954
ECA701	g5444
ECA701	g10028
ECA701	g19159
ECA701	g16299
ECA701	g11018
ECA701	g21265
ECA701	g21224
ECA701	g22365
ECA701	g681
ECA701	g15986
ECA701	g12935
ECA701	g14213
ECA701	g17949
ECA701	g20504
ECA701	g2009
ECA701	g21992
ECA701	g11500
ECA701	g18315
ECA701	g9914
ECA701	g14195
ECA701	g22970
ECA701	g1237
ECA701	g18139
ECA701	g10080
ECA701	g17631
ECA701	g12554
ECA701	g15104
ECA701	g12543
ECA701	g12306
ECA701	g12569
ECA701	g9952
ECA701	g10045
ECA701	g11628
ECA701	g16334
ECA701	g9941
ECA701	g19734
ECA701	g12339
ECA701	g1697
ECA701	g14660
ECA701	g12528
ECA701	g2856
ECA701	g21102
ECA701	g12661
ECA701	g12828
ECA701	g10002
ECA701	g10029
ECA701	g12831
ECA701	g17942
ECA701	g12533
ECA701	g13250
ECA701	g17702
ECA701	g9746
ECA701	g16331
ECA701	g21126
ECA701	g19428
ECA701	g10024
ECA701	g9762
ECA701	g12106
ECA701	g15967
ECA701	g1636
ECA701	g19803
ECA701	g17948
ECA701	g12488
ECA701	g12549
ECA701	g2807
ECA701	g16371
ECA701	g10017
ECA701	g19443
ECA701	g10893
ECA701	g12320
ECA701	g12611
ECA701	g20446
ECA701	g12641
ECA701	g15989
ECA701	g10707
ECA701	g251
ECA701	g17955
ECA701	g12328
ECA701	g19948
ECA701	g17913
ECA701	g10234
ECA701	g10564
ECA701	g22302
ECA701	g21932
ECA701	g12319
ECA701	g14436
ECA701	g13254
ECA701	g19120
ECA701	g10482
ECA701	g21310
ECA701	g12576
ECA701	g10078
ECA701	g12135
ECA701	g10018
ECA701	g12734
ECA701	g10060
ECA701	g9755
ECA701	g17952
ECA701	g16385
ECA701	g9765
ECA701	g9769
ECA701	g21258
ECA701	g21263
ECA701	g10975
ECA701	g12336
ECA701	g10916
ECA701	g14251
ECA701	g10981
ECA701	g12105
ECA701	g10064
ECA701	g11973
ECA701	g12587
ECA701	g10671
ECA701	g12341
ECA701	g15597
ECA701	g21128
ECA701	g20464
ECA701	g19529
ECA701	g20466
ECA701	g16375
ECA701	g22471
ECA701	g20502
ECA701	g565
ECA701	g12722
ECA701	g13985
ECA701	g3609
ECA701	g9903
ECA701	g22781
ECA701	g9749
ECA701	g13141
ECA701	g2257
ECA701	g21127
ECA701	g9904
ECA701	g12555
ECA701	g20465
ECA701	g9921
ECA701	g16377
ECA701	g11976
ECA701	g12901
ECA701	g22016
ECA701	g16890
ECA701	g9757
ECA701	g13146
ECA701	g12534
ECA701	g5614
ECA701	g9776
ECA701	g21953
ECA701	g12618
ECA701	g1410
ECA701	g10023
ECA701	g16300
ECA701	g9943
ECA701	g9919
ECA701	g4516
ECA701	g12300
ECA701	g21272
ECA701	g12322
ECA701	g12621
ECA701	g14496
ECA701	g13001
ECA701	g12902
ECA701	g7926
ECA701	g10037
ECA701	g9947
ECA701	g269
ECA701	g10005
ECA701	g5615
ECA3005	g6960
ECA3005	g6896
ECA3005	g18027
ECA3005	g9381
ECA3005	g21988
ECA3005	g7736
ECA3005	g4250
ECA3005	g10076
ECA3005	g22222
ECA3005	g8464
ECA3005	g18038
ECA3005	g18606
ECA3005	g2781
ECA3005	g8463
ECA3005	g22029
